group,metric,early,late,raw_delta_late_minus_early,improvement_positive_is_better,last_available_seed_count
DDQN Qmix,validation_completed,0.8438888888888888,1.9822222222222223,1.1383333333333336,1.1383333333333336,6
Bayesian QMIX Independent,validation_completed,0.03722222222222222,2.423888888888889,2.3866666666666667,2.3866666666666667,6
DDQN Qmix,validation_completed_value,1.0877777777777777,2.6005555555555557,1.512777777777778,1.512777777777778,6
Bayesian QMIX Independent,validation_completed_value,0.04666666666666667,3.128333333333334,3.081666666666667,3.081666666666667,6
DDQN Qmix,validation_coverage,0.5191069441537063,0.7264263885882166,0.20731944443451034,0.20731944443451034,6
Bayesian QMIX Independent,validation_coverage,0.8445722218685678,0.8098166662537388,-0.034755555614829015,-0.034755555614829015,6
DDQN Qmix,validation_reward,3.1357199999999943,18.770738888888875,15.635018888888881,15.635018888888881,6
Bayesian QMIX Independent,validation_reward,4.136068333333342,23.386692777777757,19.250624444444416,19.250624444444416,6
DDQN Qmix,validation_first_completion,60.871192717170395,46.38175984502848,-14.489432872141911,14.489432872141911,6
Bayesian QMIX Independent,validation_first_completion,63.726719576719574,30.20681192079544,-33.51990765592413,33.51990765592413,6
DDQN Qmix,validation_first_detection,30.61428392885807,21.425090581930295,-9.189193346927777,9.189193346927777,6
Bayesian QMIX Independent,validation_first_detection,12.318865296960533,13.171531986531987,0.8526666895714534,-0.8526666895714534,6
DDQN Qmix,validation_tracking_progress,0.006031211984972383,0.015487255532751083,0.0094560435477787,0.0094560435477787,6
Bayesian QMIX Independent,validation_tracking_progress,0.00027160493827160494,0.019058378450452967,0.018786773512181363,0.018786773512181363,6
DDQN Qmix,validation_stay,0.0,0.0,0.0,0.0,6
Bayesian QMIX Independent,validation_stay,0.0,0.0,0.0,0.0,6
DDQN Qmix,validation_collision,0.07505321528959064,0.07508939378596378,3.617849637314874e-05,-3.617849637314874e-05,6
Bayesian QMIX Independent,validation_collision,0.1244567901234568,0.0574632519751354,-0.0669935381483214,0.0669935381483214,6
DDQN Qmix,validation_overlap,0.32669256531044405,0.4951177264719191,0.16842516116147505,-0.16842516116147505,6
Bayesian QMIX Independent,validation_overlap,0.6888987190575772,0.5812583701902875,-0.10764034886728968,0.10764034886728968,6
DDQN Qmix,loss,0.15515228464371628,0.37126958204640287,0.2161172974026866,-0.2161172974026866,6
Bayesian QMIX Independent,loss,0.01912954866161777,0.4002405719624625,0.38111102330084473,-0.38111102330084473,6
DDQN Qmix,q_mean,6.369434992472331,7.021176868014865,0.6517418755425339,0.6517418755425339,6
Bayesian QMIX Independent,q_mean,1.4616885880629222,6.229447139634026,4.767758551571103,4.767758551571103,6
DDQN Qmix,target_mean,6.363712112108867,7.071409013536241,0.707696901427374,0.707696901427374,6
Bayesian QMIX Independent,target_mean,1.465894990497165,6.410768495665656,4.944873505168491,4.944873505168491,6
DDQN Qmix,epsilon,0.32722055555555557,0.050000000000000044,-0.2772205555555555,-0.2772205555555555,6
