group,metric,early,late,raw_delta_late_minus_early,improvement_positive_is_better,last_available_seed_count
Shared-DDQN,validation_completed,0.6118055555555556,0.8191666666666667,0.2073611111111111,0.2073611111111111,4
QMIX-DDQN,validation_completed,0.7472222222222221,2.351111111111111,1.6038888888888887,1.6038888888888887,1
Shared-DDQN,validation_completed_value,0.7941666666666666,1.0611111111111111,0.26694444444444454,0.26694444444444454,4
QMIX-DDQN,validation_completed_value,0.96,3.0722222222222224,2.1122222222222224,2.1122222222222224,1
Shared-DDQN,validation_coverage,0.6280694443980853,0.35251666666732895,-0.27555277773075637,-0.27555277773075637,4
QMIX-DDQN,validation_coverage,0.5929180556701289,0.7301333330406082,0.13721527737047934,0.13721527737047934,1
Shared-DDQN,validation_reward,-9.897249081244489,-5.2702544167705225,4.626994664473966,4.626994664473966,4
QMIX-DDQN,validation_reward,-9.72292499167978,-3.008089716803895,6.714835274875886,6.714835274875886,1
Shared-DDQN,validation_first_completion,53.66526708446899,39.256159191632726,-14.40910789283626,14.40910789283626,4
QMIX-DDQN,validation_first_completion,59.95163286133436,30.05936194117343,-29.89227092016093,29.89227092016093,1
Shared-DDQN,validation_first_detection,23.636953745095727,26.925890657264457,3.2889369121687295,-3.2889369121687295,4
QMIX-DDQN,validation_first_detection,17.18671845169912,14.46,-2.7267184516991207,2.7267184516991207,1
Shared-DDQN,validation_tracking_progress,0.0046743798710997455,0.006130142747432306,0.0014557628763325605,0.0014557628763325605,4
QMIX-DDQN,validation_tracking_progress,0.005103187526607068,0.019087464961291555,0.013984277434684486,0.013984277434684486,1
Shared-DDQN,validation_stay,0.0,0.0,0.0,0.0,4
QMIX-DDQN,validation_stay,0.0,0.0,0.0,0.0,1
Shared-DDQN,validation_collision,0.10905218688132974,0.04254041455489902,-0.06651177232643071,0.06651177232643071,4
QMIX-DDQN,validation_collision,0.08354088707960834,0.07476489477062086,-0.008775992308987485,0.008775992308987485,1
Shared-DDQN,validation_overlap,0.4481901040605054,0.20579026877152765,-0.24239983528897777,0.24239983528897777,4
QMIX-DDQN,validation_overlap,0.43928944006080867,0.5099859557735632,0.07069651571275454,-0.07069651571275454,1
Shared-DDQN,loss,0.24056859004000822,0.3102580627633466,0.06968947272333839,-0.06968947272333839,4
QMIX-DDQN,loss,0.12337275842825572,0.21338645286030242,0.0900136944320467,-0.0900136944320467,1
Shared-DDQN,q_mean,-3.606929431358973,-6.500043749809265,-2.893114318450292,-2.893114318450292,4
QMIX-DDQN,q_mean,-1.73695754342609,-7.062990029652913,-5.326032486226823,-5.326032486226823,1
Shared-DDQN,target_mean,-3.694874372747209,-6.441208826171027,-2.746334453423818,-2.746334453423818,4
QMIX-DDQN,target_mean,-1.7172074450386896,-7.025526682535808,-5.308319237497118,-5.308319237497118,1
Shared-DDQN,epsilon,0.4790305555555556,0.050000000000000044,-0.4290305555555556,-0.4290305555555556,4
QMIX-DDQN,epsilon,0.47881944444444446,0.050000000000000044,-0.4288194444444444,-0.4288194444444444,1
