action_counts,algo,boundary_hit_ratio,collision_agent_ratio,completed_mean,completed_value_mean,coverage_overlap_ratio_mean,detected_mean,detected_to_completed_ratio,detected_value_mean,episode_length_mean,episodes,eval_seed_base,first_completion_step_mean,first_detection_step_mean,knowledge_overlap_ratio_mean,local_new_observed_cells_per_decision,local_sensor_revisit_ratio,mean_local_coverage_ratio_mean,n_agents,reward_mean,reward_part_all_targets_mean_per_env_step,reward_part_all_targets_mean_per_episode,reward_part_boundary_mean_per_env_step,reward_part_boundary_mean_per_episode,reward_part_collision_mean_per_env_step,reward_part_collision_mean_per_episode,reward_part_complete_mean_per_env_step,reward_part_complete_mean_per_episode,reward_part_detect_mean_per_env_step,reward_part_detect_mean_per_episode,reward_part_idle_stay_mean_per_env_step,reward_part_idle_stay_mean_per_episode,reward_part_new_cell_mean_per_env_step,reward_part_new_cell_mean_per_episode,reward_part_new_observed_mean_per_env_step,reward_part_new_observed_mean_per_episode,reward_part_revisit_mean_per_env_step,reward_part_revisit_mean_per_episode,reward_part_step_mean_per_env_step,reward_part_step_mean_per_episode,reward_part_track_progress_mean_per_env_step,reward_part_track_progress_mean_per_episode,reward_std,reward_version,seed,source_file,stay_ratio,team_coverage_ratio_mean,team_new_observed_cells_per_env_step,tracking_progress_ratio
"{'left': 106518, 'down': 75537, 'up': 74720, 'stay': 81769, 'right': 109092}",qmix_ddqn,0.0,0.10770134662985104,1.423,1.768,0.4353902687376798,3.037,0.46855449456700693,3.788,149.212,1000,100000,51.36752136752137,15.412714429868819,0.0945,1.0121661349846751,0.6890777328007578,0.380068333402276,3,12.201885999999991,0.0006701873843926761,0.1,0.0,0.0,-0.006462080797791065,-0.9642200000000005,0.05664423772886899,8.452,0.016741951049513447,2.4981000000000004,-0.016388695279200054,-2.4453899999999984,3.790579846124977e-05,0.005656000000000001,0.029696807227300746,4.431119999999999,0.0,0.0,-0.014999999999999977,-2.2381799999999967,0.015835187518430154,2.3628,9.185181019718874,multi_local_v1_from_single_D,42,logs/multi_local/confirm/qmix_ddqn_seed42_train1000_eval.json,0.1826685074480158,0.752919999435544,1.9982843202959548,0.011898060030917978
"{'down': 93253, 'right': 120310, 'left': 129779, 'up': 72026, 'stay': 31521}",qmix_ddqn,0.0,0.1373294039459463,1.435,1.795,0.45070726806213884,3.052,0.4701834862385321,3.816,148.963,1000,100000,40.554611650485434,10.539314516129032,0.0915,1.0352526018765287,0.6917802854847624,0.3880358337461948,3,13.675733999999986,0.0006713076401522526,0.1,0.0,0.0,-0.008239764236756783,-1.2274200000000006,0.057866718581124174,8.62,0.01690889684015494,2.5188,-0.006327947208367178,-0.94263,3.8291387794284494e-05,0.005704000000000001,0.029942502500620954,4.460324999999999,0.0,0.0,-0.014999999999999973,-2.234444999999996,0.015946241684176608,2.3754,9.259219133449852,multi_local_v1_from_single_D,43,logs/multi_local/confirm/qmix_ddqn_seed43_train1000_eval.json,0.07053429375079717,0.7588799997270107,2.0176285386303983,0.011917948304836324
"{'up': 109203, 'left': 90844, 'right': 75428, 'down': 114937, 'stay': 54713}",qmix_ddqn,0.0,0.12438079191238416,1.457,1.799,0.48637251472481147,3.148,0.46283354510800506,3.933,148.375,1000,100000,37.01086956521739,10.706412825651302,0.12074999999999998,1.1225116540297668,0.6669025554619489,0.41888166731595994,3,13.404242999999983,0.0012468407750631846,0.185,0.0,0.0,-0.007462847514743054,-1.1073000000000006,0.05771861836562763,8.564,0.017491491154170175,2.5953,-0.011037978096040435,-1.6377599999999994,3.968323504633531e-05,0.005888000000000002,0.03119352990732939,4.628339999999998,0.0,0.0,-0.014999999999999975,-2.2256249999999964,0.016150968828980622,2.3963999999999994,9.769705159622308,multi_local_v1_from_single_D,44,logs/multi_local/confirm/qmix_ddqn_seed44_train1000_eval.json,0.1229160348216793,0.7862025009989738,2.0992822240943556,0.012261724234765516
"{'right': 87355, 'stay': 106750, 'down': 95608, 'left': 72294, 'up': 87804}",qmix_ddqn,0.0,0.09186302691574906,1.17,1.46,0.3704162180121129,2.629,0.4450361354127044,3.27,149.937,1000,100000,53.78982597054886,21.280898876404493,0.07966666666666666,0.8310734953124757,0.7493902994813377,0.3140216672867537,3,8.719594999999995,0.00010004201764741191,0.015,0.0,0.0,-0.005511781614944945,-0.8264200000000003,0.04668627490212556,7.0,0.0143680345745213,2.1543,-0.02131035034714579,-3.195209999999998,2.9545742545202324e-05,0.004430000000000001,0.025935893075091532,3.888749999999999,0.0,0.0,-0.014999999999999977,-2.2490549999999967,0.012857400108045378,1.9277999999999997,8.681926551231289,multi_local_v1_from_single_D,45,logs/multi_local/confirm/qmix_ddqn_seed45_train1000_eval.json,0.23732189741913826,0.6621175001561642,1.7463801463281245,0.009590694758465221
"{'up': 111622, 'right': 78441, 'left': 75881, 'down': 101103, 'stay': 80628}",qmix_ddqn,0.0,0.1437270341207349,1.438,1.784,0.45834682683844824,3.002,0.47901399067288475,3.749,149.225,1000,100000,41.529201430274135,12.88888888888889,0.10783333333333331,1.036070810297649,0.6907444016306472,0.38901916617155075,3,11.889856999999987,0.0005025967498743508,0.075,0.0,0.0,-0.008623622047244098,-1.2868600000000006,0.05709499078572625,8.52,0.01657564081085609,2.4735,-0.01616733121125816,-2.4125699999999988,3.8076729770480834e-05,0.005682000000000002,0.029555905511811014,4.410479999999999,0.0,0.0,-0.014999999999999975,-2.2383749999999965,0.01570112246607472,2.343,9.20206312359086,multi_local_v1_from_single_D,46,logs/multi_local/confirm/qmix_ddqn_seed46_train1000_eval.json,0.18010386999497402,0.7499500007927418,1.9901491037024628,0.011807672977048081
"{'down': 58656, 'right': 94491, 'stay': 87030, 'left': 126810, 'up': 81360}",qmix_ddqn,0.0,0.17472181145407464,1.266,1.596,0.41542224020680785,2.904,0.4359504132231405,3.628,149.449,1000,100000,44.57142857142857,13.940222897669706,0.09866666666666665,0.9389423816820454,0.7140027701757791,0.35330999933183194,3,10.09939499999999,0.0004349309797991288,0.065,0.0,0.0,-0.010483308687244482,-1.5667200000000008,0.05154935797496136,7.704,0.01601884254829407,2.394,-0.017424004175337397,-2.6039999999999988,3.7002589512141274e-05,0.005530000000000001,0.02800165942896907,4.184819999999998,0.0,0.0,-0.014999999999999977,-2.2417349999999967,0.014443054152252608,2.1585,8.96265836640976,multi_local_v1_from_single_D,47,logs/multi_local/confirm/qmix_ddqn_seed47_train1000_eval.json,0.19411304190727272,0.7130949999690056,1.8885238442545618,0.010712684594744696
"{'stay': 108251, 'left': 102023, 'down': 70186, 'right': 91476, 'up': 76150}",qmix_ddqn,0.0,0.09102270546279062,1.341,1.623,0.40945824030120004,2.909,0.46098315572361637,3.605,149.362,1000,100000,52.48071979434447,16.566094853683147,0.08925,0.9466865735595399,0.7181813312623023,0.3559975003451109,3,10.156844999999992,0.0005021357507264231,0.075,0.0,0.0,-0.00546136232776744,-0.8157200000000003,0.05101699227380458,7.62,0.015879540980972405,2.3718000000000004,-0.021673183272853856,-3.237149999999998,3.3274862414804304e-05,0.0049700000000000005,0.028481641916953435,4.2540749999999985,0.0,0.0,-0.014999999999999977,-2.240429999999997,0.014222493003575207,2.1243000000000003,9.248094089106944,multi_local_v1_from_single_D,48,logs/multi_local/confirm/qmix_ddqn_seed48_train1000_eval.json,0.24158532067504898,0.7241975001692772,1.9193569984333365,0.01107153537490571
"{'up': 83657, 'right': 72177, 'left': 81382, 'stay': 133205, 'down': 78292}",shared_bdqn,4.45719201360335e-06,0.10092419876402066,1.472,1.823,0.4528929433806336,2.773,0.5308330328164442,3.426,149.571,1000,100000,49.489234449760765,18.97672064777328,0.12341666666666666,0.9567072939718707,0.7046642285826352,0.36023916709423065,3,10.356364999999993,0.0006685788020405026,0.1,-2.6743152081620104e-06,-0.0004,-0.006055451925841242,-0.9057200000000004,0.0581396126254421,8.696,0.015053051727941915,2.2515,-0.026639990372465235,-3.9845699999999975,3.423123466447374e-05,0.005120000000000001,0.027306095432938195,4.084199999999999,0.0,0.0,-0.014999999999999979,-2.2435649999999967,0.015737007842429346,2.3537999999999997,9.476002711469368,multi_local_v1_from_single_D,42,logs/multi_local/confirm/shared_bdqn_seed42_train1000_eval.json,0.2968601310860171,0.6942600002884864,1.836612712357342,0.011856130756184911
"{'right': 69716, 'left': 76793, 'down': 81179, 'up': 99879, 'stay': 119769}",shared_bdqn,0.0,0.18199071838617953,1.261,1.58,0.43307557645024986,2.665,0.47317073170731705,3.314,149.112,1000,100000,48.3728362183755,16.51440329218107,0.12391666666666666,0.9152829193268595,0.7244688556253018,0.3436991672515869,3,8.513518999999993,0.0007377005204141853,0.11,0.0,0.0,-0.010919443103170775,-1.6282200000000007,0.050941574118783195,7.596,0.01464067278287462,2.1831000000000005,-0.024037502011910503,-3.584279999999999,3.174794785127958e-05,0.004734000000000001,0.026666968453243192,3.976364999999999,0.0,0.0,-0.014999999999999977,-2.2366799999999967,0.014033075808788025,2.0925,10.146587436751279,multi_local_v1_from_single_D,43,logs/multi_local/confirm/shared_bdqn_seed43_train1000_eval.json,0.26773834433177746,0.6773625011891127,1.7969378722034444,0.01042840281130962
"{'up': 44221, 'left': 101390, 'down': 46836, 'stay': 122767, 'right': 133283}",shared_bdqn,0.0,0.14486607491242973,1.099,1.349,0.33598162692148165,2.429,0.45244956772334294,3.006,149.499,1000,100000,36.97931034482759,11.472251308900523,0.09216666666666666,0.7342211876556588,0.7975705523113867,0.276913334146142,3,6.531203999999989,0.00030100535789537053,0.045,0.0,0.0,-0.008691964494745788,-1.2994400000000006,0.042782894868862,6.396,0.013222162021150645,1.9767000000000003,-0.02459494712339211,-3.6769199999999973,3.9425012876340323e-05,0.005894000000000002,0.02369484076816567,3.5423549999999997,0.0,0.0,-0.014999999999999973,-2.242484999999996,0.011933859089358456,1.7841,9.038537918180335,multi_local_v1_from_single_D,44,logs/multi_local/confirm/shared_bdqn_seed44_train1000_eval.json,0.2737298131314145,0.6046699997335673,1.5977899517722527,0.009161711226607982
