ablation,algo,baseline,boundary_hit_ratio,completed_mean,completed_value_mean,detected_mean,detected_to_completed_ratio,detected_value_mean,episode_length_mean,episodes,eval_seed_base,first_completion_step_mean,first_detection_step_mean,new_observed_cells_per_step,revisit_ratio,reward_mean,reward_part_all_targets_mean_per_episode,reward_part_all_targets_mean_per_step,reward_part_boundary_mean_per_episode,reward_part_boundary_mean_per_step,reward_part_complete_mean_per_episode,reward_part_complete_mean_per_step,reward_part_detect_mean_per_episode,reward_part_detect_mean_per_step,reward_part_idle_stay_mean_per_episode,reward_part_idle_stay_mean_per_step,reward_part_new_cell_mean_per_episode,reward_part_new_cell_mean_per_step,reward_part_new_observed_mean_per_episode,reward_part_new_observed_mean_per_step,reward_part_revisit_mean_per_episode,reward_part_revisit_mean_per_step,reward_part_step_mean_per_episode,reward_part_step_mean_per_step,reward_part_track_progress_mean_per_episode,reward_part_track_progress_mean_per_step,reward_std,reward_version,seed,sensor_coverage_ratio_mean,sensor_revisit_ratio,stay_ratio,tracking_progress_ratio
A,baseline_frontier,frontier,0.0,3.828,4.798,3.84,0.996875,4.81,103.666,500,200000,19.928,16.96,3.0705149229255495,0.9903536357146991,38.22504,4.28,0.041286439141087726,0.0,0.0,23.072,0.22256091679046167,3.1769999999999388,0.030646499334400272,0.0,0.0,0.0020000000000000013,1.9292728570601752e-05,4.748369999999438,0.04580450678138867,0.0,0.0,-0.5183299999996737,-0.004999999999996852,3.464000000000172,0.03341500588428387,4.975653993034476,v3_frontier,999,0.7982700008749962,0.2048116065055081,0.07379468678255166,0.11093318928096
A,baseline_oracle,oracle,0.0,4.0,5.0,4.0,1.0,5.0,47.55,500,200000,13.616,8.61,3.0121976866456364,0.9790956887486856,37.788898,5.0,0.10515247108307045,0.0,0.0,24.0,0.5047318611987381,3.2999999999999288,0.069400630914825,0.0,0.0,0.0019880000000000015,4.180862250262884e-05,2.1246599999998743,0.04468264984226865,0.0,0.0,-0.23774999999992874,-0.004999999999998501,3.600000000000182,0.07570977917981456,0.5078440622829,v3_frontier,999,0.36057499983906743,0.22410094637223973,0.16054679284963197,0.25236593059936907
A,baseline_random,random,0.0,0.612,0.758,1.112,0.5503597122302158,1.386,149.964,500,200000,58.871369294605806,42.22527472527472,0.7421247766130538,0.9946387132911899,5.137187999999998,0.01,6.66826705075885e-05,0.0,0.0,3.616,0.024112453655543997,0.9138000000000073,0.006093462430983484,-0.9290999999996385,-0.006195486916857636,0.0016080000000000011,1.0722573417620237e-05,1.6478999999995134,0.010988637272942263,0.0,0.0,-0.7498199999994631,-0.00499999999999642,0.6267999999999911,0.004179669787415587,6.440188280528448,v3_frontier,999,0.2807300001978874,0.7193726494358647,0.20866341255234588,0.014123389613507242
B,baseline_frontier,frontier,0.0007743384246084752,3.836,4.808,3.852,0.995846313603323,4.824,103.314,500,200000,19.842,16.874,3.0732136980467315,0.990320769692394,38.30417,4.32,0.041814274928857656,-0.016000000000000007,-0.0001548676849216951,23.12,0.2237838047118493,3.1859999999999378,0.03083802776003192,0.0,0.0,0.0020000000000000013,1.935846061521189e-05,4.736339999999408,0.045844125675120584,0.0,0.0,-0.5165699999996752,-0.004999999999996857,3.472400000000174,0.033610159320132546,4.845392031724566,v3_frontier,999,0.7962650007009506,0.20516096560001548,0.07427841338056798,0.11160152544669648
B,baseline_oracle,oracle,0.0,4.0,5.0,4.0,1.0,5.0,47.55,500,200000,13.616,8.61,3.0121976866456364,0.9790956887486856,37.788898,5.0,0.10515247108307045,0.0,0.0,24.0,0.5047318611987381,3.2999999999999288,0.069400630914825,0.0,0.0,0.0019880000000000015,4.180862250262884e-05,2.1246599999998743,0.04468264984226865,0.0,0.0,-0.23774999999992874,-0.004999999999998501,3.600000000000182,0.07570977917981456,0.5078440622829,v3_frontier,999,0.36057499983906743,0.22410094637223973,0.16054679284963197,0.25236593059936907
B,baseline_random,random,0.04167666906724281,0.568,0.716,1.032,0.5503875968992248,1.278,149.964,500,200000,56.52914798206278,40.340298507462684,0.7274145794990797,0.9948387613027126,3.6353179999999985,0.01,6.66826705075885e-05,-1.2500000000000102,-0.00833533381344863,3.456,0.02304553092742258,0.8406000000000052,0.005605345282867923,-0.8902199999996738,-0.005936224693924368,0.0015480000000000012,1.0322477394574705e-05,1.6148099999995384,0.010767984316232819,0.0,0.0,-0.7498199999994631,-0.00499999999999642,0.6023999999999913,0.004016964071377072,6.72896029895228,v3_frontier,999,0.2752149996012449,0.7265343682483796,0.19972793470432904,0.013229841828705556
C,baseline_frontier,frontier,0.0,3.828,4.798,3.84,0.996875,4.81,103.666,500,200000,19.928,16.96,3.0705149229255495,0.9903536357146991,38.22504,4.28,0.041286439141087726,0.0,0.0,23.072,0.22256091679046167,3.1769999999999388,0.030646499334400272,0.0,0.0,0.0020000000000000013,1.9292728570601752e-05,4.748369999999438,0.04580450678138867,0.0,0.0,-0.5183299999996737,-0.004999999999996852,3.464000000000172,0.03341500588428387,4.975653993034476,v3_frontier,999,0.7982700008749962,0.2048116065055081,0.07379468678255166,0.11093318928096
C,baseline_oracle,oracle,0.0,4.0,5.0,4.0,1.0,5.0,47.55,500,200000,13.616,8.61,3.0121976866456364,0.9790956887486856,37.788898,5.0,0.10515247108307045,0.0,0.0,24.0,0.5047318611987381,3.2999999999999288,0.069400630914825,0.0,0.0,0.0019880000000000015,4.180862250262884e-05,2.1246599999998743,0.04468264984226865,0.0,0.0,-0.23774999999992874,-0.004999999999998501,3.600000000000182,0.07570977917981456,0.5078440622829,v3_frontier,999,0.36057499983906743,0.22410094637223973,0.16054679284963197,0.25236593059936907
C,baseline_random,random,0.0,0.612,0.758,1.112,0.5503597122302158,1.386,149.964,500,200000,58.871369294605806,42.22527472527472,0.7421247766130538,0.9946387132911899,5.137187999999998,0.01,6.66826705075885e-05,0.0,0.0,3.616,0.024112453655543997,0.9138000000000073,0.006093462430983484,-0.9290999999996385,-0.006195486916857636,0.0016080000000000011,1.0722573417620237e-05,1.6478999999995134,0.010988637272942263,0.0,0.0,-0.7498199999994631,-0.00499999999999642,0.6267999999999911,0.004179669787415587,6.440188280528448,v3_frontier,999,0.2807300001978874,0.7193726494358647,0.20866341255234588,0.014123389613507242
D,baseline_frontier,frontier,0.0,3.828,4.798,3.84,0.996875,4.81,103.666,500,200000,19.928,16.96,3.0705149229255495,0.9903536357146991,39.95703999999999,4.28,0.041286439141087726,0.0,0.0,23.072,0.22256091679046167,3.1769999999999388,0.030646499334400272,0.0,0.0,0.0020000000000000013,1.9292728570601752e-05,4.748369999999438,0.04580450678138867,0.0,0.0,-0.5183299999996737,-0.004999999999996852,5.196000000000259,0.05012250882642582,5.172570743682487,v3_frontier,999,0.7982700008749962,0.2048116065055081,0.07379468678255166,0.11093318928096
