ablation,algo,boundary_hit_ratio,completed_mean,completed_value_mean,detected_mean,detected_to_completed_ratio,detected_value_mean,new_observed_cells_per_step,reward_mean,seed,sensor_coverage_ratio_mean,sensor_revisit_ratio,source,stay_ratio,tracking_progress_ratio
D,bdqn,0.0,0.445,0.564,1.407,0.31627576403695806,1.772,0.9127266666666667,4.318545000000002,42,0.34477250020951034,0.74354,logs/single_suite/confirm/D/bdqn_seed42_eval1000.json,0.37134,0.011773333333333334
D,bdqn,0.0,0.386,0.481,1.364,0.2829912023460411,1.704,0.89424,3.470773000000001,43,0.33784000016003846,0.75174,logs/single_suite/confirm/D/bdqn_seed43_eval1000.json,0.42766666666666664,0.01094
D,bdqn,0.0,0.503,0.623,1.444,0.34833795013850416,1.808,0.9174,4.856262000000003,44,0.34652499970048667,0.7283733333333333,logs/single_suite/confirm/D/bdqn_seed44_eval1000.json,0.32928666666666667,0.013113333333333333
D,bdqn,0.0,0.497,0.616,1.38,0.3601449275362319,1.718,0.889296432144048,6.131705000000007,45,0.3358750000074506,0.756058686228743,logs/single_suite/confirm/D/bdqn_seed45_eval1000.json,0.015398466155385128,0.01341780593531177
D,bdqn,0.0,0.457,0.559,1.443,0.3167013167013167,1.807,0.94562,4.702510000000002,46,0.35710749943554404,0.7248533333333333,logs/single_suite/confirm/D/bdqn_seed46_eval1000.json,0.29564,0.0127
D,bdqn,0.0,0.406,0.505,1.425,0.2849122807017544,1.807,0.9337386747734955,4.983897000000004,47,0.3526449993811548,0.7367214010946885,logs/single_suite/confirm/D/bdqn_seed47_eval1000.json,0.16627665886651066,0.01160689880464276
D,bdqn,0.0,0.317,0.402,1.068,0.29681647940074907,1.337,0.6867866666666667,2.6812080000000025,48,0.2600449993871152,0.8147333333333333,logs/single_suite/confirm/D/bdqn_seed48_eval1000.json,0.33926,0.0088
D,ddqn,0.0,0.61,0.762,1.865,0.32707774798927614,2.334,1.2282630435072468,7.1137749999999995,42,0.4630924993827939,0.6449752663368845,logs/single_suite/confirm/D/ddqn_seed42_eval1000.json,0.26510353471379616,0.016513553514046854
D,ddqn,0.0,0.663,0.836,1.851,0.3581847649918963,2.318,1.20386,7.656384000000002,43,0.4539474997632206,0.6479333333333334,logs/single_suite/confirm/D/ddqn_seed43_eval1000.json,0.22489333333333333,0.017346666666666666
D,ddqn,0.0,0.492,0.607,1.564,0.3145780051150895,1.941,1.0258137224174608,5.931561000000003,44,0.38707500040531156,0.7003047499649905,logs/single_suite/confirm/D/ddqn_seed44_eval1000.json,0.14482625250901912,0.013363652731746677
D,ddqn,0.0,0.574,0.728,1.767,0.3248443689869836,2.237,1.1067,6.418172000000001,45,0.417512499216944,0.6763066666666666,logs/single_suite/confirm/D/ddqn_seed45_eval1000.json,0.30461333333333335,0.015553333333333334
D,ddqn,0.0,0.571,0.71,1.797,0.31775180856983865,2.222,1.1457102465958042,7.1101300000000025,46,0.4320324992612004,0.6765713980875155,logs/single_suite/confirm/D/ddqn_seed46_eval1000.json,0.12839252610661367,0.015523932729624839
D,ddqn,0.0,0.338,0.42,1.327,0.25470987189148453,1.667,0.8759933333333333,2.9871080000000014,47,0.33099750014394524,0.7586266666666667,logs/single_suite/confirm/D/ddqn_seed47_eval1000.json,0.43906,0.009706666666666667
D,ddqn,0.0,0.542,0.666,1.611,0.33643699565487273,2.011,1.0584333333333333,5.649740000000002,48,0.3994124999269843,0.6915666666666667,logs/single_suite/confirm/D/ddqn_seed48_eval1000.json,0.30583333333333335,0.014133333333333333
