ablation,algo,boundary_hit_ratio,completed_mean,completed_value_mean,detected_mean,detected_to_completed_ratio,detected_value_mean,new_observed_cells_per_step,reward_mean,seed,sensor_coverage_ratio_mean,sensor_revisit_ratio,source,stay_ratio,tracking_progress_ratio
v3,bdqn,0.15403701850925464,0.435,0.543,1.403,0.31004989308624376,1.768,0.904432216108054,-0.004634000000001151,42,0.3414924997165799,0.7606069701517425,logs/v3_frontier_new_bdqn/bdqn_seed42_eval1000.json,0.21562114390528597,0.01201267300316825
v3,bdqn,0.18126666666666666,0.558,0.7,1.847,0.3021115322144018,2.321,1.1933333333333334,1.1521460000000006,43,0.4499999998956919,0.6795666666666667,logs/v3_frontier_new_bdqn/bdqn_seed43_eval1000.json,0.20523333333333332,0.015453333333333333
v3,bdqn,0.03867333333333333,0.367,0.454,1.309,0.28036669213139803,1.606,0.87596,0.9649609999999966,44,0.33098499990999697,0.79986,logs/v3_frontier_new_bdqn/bdqn_seed44_eval1000.json,0.61722,0.010933333333333333
v3,bdqn,0.19737000040010136,0.436,0.544,1.407,0.30987917555081734,1.77,0.9150718181939425,-1.921407000000001,45,0.3455650000665337,0.7704485136234512,logs/v3_frontier_new_bdqn/bdqn_seed45_eval1000.json,0.3533828569904376,0.011502914071564797
v3,bdqn,0.13468666666666668,0.341,0.41,1.244,0.2741157556270097,1.542,0.8172333333333334,-0.567389999999999,46,0.3089624996036291,0.77846,logs/v3_frontier_new_bdqn/bdqn_seed46_eval1000.json,0.21047333333333335,0.009866666666666666
v3,bdqn,0.13156666666666667,0.555,0.702,1.6,0.346875,1.998,1.0308466666666667,1.986600000000001,47,0.38906749933213,0.7325,logs/v3_frontier_new_bdqn/bdqn_seed47_eval1000.json,0.22590666666666667,0.01504
v3,bdqn,0.21061333333333335,0.457,0.575,1.648,0.27730582524271846,2.067,1.05928,-1.3579590000000015,48,0.3997299999445677,0.71454,logs/v3_frontier_new_bdqn/bdqn_seed48_eval1000.json,0.30344666666666664,0.012733333333333333
v3,ddqn,0.42447025441575104,0.911,1.158,2.066,0.44094869312681517,2.597,0.45843757018614756,-33.93674700000002,0,0.5228949998542667,0.8738706284453754,logs/v3_frontier/shared_ddqn_3uav_seed0_30_eval1000.json,0.2815584715930949,0.0077029644405010485
v3,ddqn,0.08350577368236599,1.305,1.605,2.707,0.4820834872552641,3.369,0.6014406861005266,4.7628359999999885,42,0.681084999486804,0.8072574506508089,logs/v3_frontier/shared_ddqn_3uav_seed42_1000_eval1000.json,0.03319337204033207,0.0107013467089006
v3,ddqn,0.10110578186303981,1.292,1.62,2.706,0.47745750184774577,3.387,0.5873848236672056,2.9066069999999895,43,0.6669774990975856,0.8136559384004239,logs/v3_frontier/shared_ddqn_3uav_seed43_1000_eval1000.json,0.062325481970367004,0.010719359421412888
v3,ddqn,0.05521968028244767,1.119,1.403,2.445,0.45766871165644174,3.072,0.5463340497184673,4.27038899999999,44,0.6195074998438358,0.830122990606651,logs/v3_frontier/shared_ddqn_3uav_seed44_1000_eval1000.json,0.14445984337723144,0.009254981777929536
v3,ddqn,0.19750666666666666,0.439,0.558,1.533,0.2863666014350946,1.928,0.95898,-1.106589999999998,45,0.3621174995675683,0.74862,logs/v3_frontier/ddqn_seed45_eval1000.json,0.24309333333333333,0.01196
v3,ddqn,0.1692930451541483,0.464,0.591,1.558,0.29781771501925547,1.954,1.000766906964182,-0.0782359999999999,46,0.37766999947465957,0.7391582695911385,logs/v3_frontier/ddqn_seed46_eval1000.json,0.27746693964108754,0.013090768440778111
v3,ddqn,0.13008666666666666,0.276,0.336,1.089,0.2534435261707989,1.371,0.7052333333333334,-2.6264749999999997,47,0.26696249992214144,0.8342066666666667,logs/v3_frontier/ddqn_seed47_eval1000.json,0.52886,0.007873333333333333
v3,ddqn,0.16665333333333332,0.346,0.437,1.281,0.27010148321623734,1.611,0.8515533333333334,-1.7498049999999985,48,0.32183249972760675,0.7836666666666666,logs/v3_frontier/ddqn_seed48_eval1000.json,0.3337333333333333,0.009526666666666666
v3,qmix_ddqn,0.3546666666666667,0.65,0.8,2.0,0.325,2.4,0.44422222222222224,-26.677300000000002,42,0.5072499997913837,0.8704444444444445,logs/v3_frontier/qmix_ddqn_3uav_seed42_20_eval20.json,0.0758888888888889,0.005666666666666667
v3,qmix_ddqn,0.14714500409063422,0.794,0.98,1.931,0.4111859140341792,2.416,0.4333604560167894,-10.000809000000006,43,0.49482249984145166,0.8703113328353431,logs/v3_frontier/qmix_ddqn_3uav_seed43_1000_eval1000.json,0.2563560452459716,0.006709529399210329
v3,qmix_ddqn,0.29746410960857583,0.97,1.189,2.119,0.45776309579990554,2.648,0.4650654973183867,-21.182030000000008,44,0.5292999996766448,0.860716537766518,logs/v3_frontier/qmix_ddqn_3uav_seed44_1000_eval1000.json,0.18987649204428728,0.007981336773641535
