ablation,algo,boundary_hit_ratio,completed_mean,completed_value_mean,detected_mean,detected_to_completed_ratio,detected_value_mean,new_observed_cells_per_step,reward_mean,seed,sensor_coverage_ratio_mean,sensor_revisit_ratio,source,stay_ratio,tracking_progress_ratio
A,ddqn,0.0,0.29333333333333333,0.37333333333333335,1.1066666666666667,0.26506024096385544,1.3833333333333333,0.714,2.475496666666668,42,0.27024999994784593,0.8012888888888889,logs/single_suite/screen/A/ddqn_seed42_eval300.json,0.32664444444444446,0.008311111111111111
A,ddqn,0.0,0.4033333333333333,0.49666666666666665,1.1233333333333333,0.3590504451038576,1.4033333333333333,0.7546666666666667,3.679683333333335,43,0.2854999991878867,0.7892444444444444,logs/single_suite/screen/A/ddqn_seed43_eval300.json,0.2225111111111111,0.01048888888888889
A,ddqn,0.0,0.5266666666666666,0.6466666666666666,1.56,0.33760683760683763,1.9466666666666668,0.9724222222222222,6.179600000000003,44,0.36715833148608606,0.73,logs/single_suite/screen/A/ddqn_seed44_eval300.json,0.05313333333333333,0.014577777777777778
B,ddqn,0.2712,0.35,0.4166666666666667,1.2766666666666666,0.2741514360313316,1.5866666666666667,0.8282222222222222,-5.202743333333333,42,0.3130833328515291,0.7830666666666667,logs/single_suite/screen/B/ddqn_seed42_eval300.json,0.3475111111111111,0.009911111111111112
B,ddqn,0.17104444444444444,0.3,0.36,1.18,0.2542372881355932,1.4666666666666666,0.7138,-2.6639966666666663,43,0.2701749987155199,0.8221111111111111,logs/single_suite/screen/B/ddqn_seed43_eval300.json,0.3055555555555556,0.008222222222222223
B,ddqn,0.2688888888888889,0.25333333333333335,0.30666666666666664,0.9633333333333334,0.2629757785467128,1.2,0.6352666666666666,-6.010486666666662,44,0.2407250003144145,0.8424888888888888,logs/single_suite/screen/B/ddqn_seed44_eval300.json,0.2574888888888889,0.007488888888888889
C,ddqn,0.0,0.43666666666666665,0.52,1.4633333333333334,0.2984054669703872,1.7966666666666666,0.9340666666666667,4.135876666666669,42,0.35277499991158645,0.7412,logs/single_suite/screen/C/ddqn_seed42_eval300.json,0.28602222222222223,0.011866666666666666
C,ddqn,0.0,0.32,0.4166666666666667,1.0733333333333333,0.2981366459627329,1.3633333333333333,0.6862888888888888,2.9874333333333363,43,0.2598583331828316,0.8149111111111111,logs/single_suite/screen/C/ddqn_seed43_eval300.json,0.25906666666666667,0.008777777777777778
C,ddqn,0.0,0.34,0.42333333333333334,1.2333333333333334,0.2756756756756757,1.5666666666666667,0.7744666666666666,3.8153266666666728,44,0.29292499943325917,0.7763111111111111,logs/single_suite/screen/C/ddqn_seed44_eval300.json,0.14457777777777778,0.009444444444444445
D,ddqn,0.0,0.49,0.59,1.47,0.3333333333333333,1.8366666666666667,0.9392222222222222,5.3648500000000015,42,0.35470833311478295,0.7254222222222222,logs/single_suite/screen/D/ddqn_seed42_eval300.json,0.1771111111111111,0.013177777777777778
D,ddqn,0.0,0.37,0.4533333333333333,1.33,0.2781954887218045,1.6533333333333333,0.8540666666666666,3.579306666666669,43,0.32277500044554475,0.7557333333333334,logs/single_suite/screen/D/ddqn_seed43_eval300.json,0.33097777777777776,0.010355555555555555
D,ddqn,0.0,0.49,0.6066666666666667,1.45,0.33793103448275863,1.8066666666666666,0.9569333333333333,5.410383333333334,44,0.3613500006745259,0.7172888888888889,logs/single_suite/screen/D/ddqn_seed44_eval300.json,0.21197777777777776,0.01331111111111111
v3,ddqn,0.10622222222222222,0.25666666666666665,0.32,1.1833333333333333,0.21690140845070421,1.4866666666666666,0.7908444444444445,-0.6124433333333325,42,0.29906666568790874,0.8050222222222222,logs/single_suite/screen/v3/ddqn_seed42_eval300.json,0.2871111111111111,0.007666666666666666
v3,ddqn,0.22015555555555555,0.25666666666666665,0.31666666666666665,1.1733333333333333,0.21875,1.4666666666666666,0.7263111111111111,-4.348819999999999,43,0.27486666560173034,0.8194,logs/single_suite/screen/v3/ddqn_seed43_eval300.json,0.3206,0.008088888888888889
v3,ddqn,0.17004444444444444,0.2833333333333333,0.35333333333333333,1.2066666666666668,0.23480662983425415,1.52,0.7740888888888889,-3.1065033333333343,44,0.2927833326905966,0.8065333333333333,logs/single_suite/screen/v3/ddqn_seed44_eval300.json,0.45324444444444445,0.008133333333333333
