algo,detection_probability,global_state_mode,last_episode,loss_final,metric_rows,posterior_rebuilds_final,posterior_std_mean_final,reward_mode,run_dir,sampled_minus_mean_completed,sampled_minus_mean_coverage,seed,status,validation_collision_final,validation_completed_best,validation_completed_final,validation_overlap_final,validation_reward_best,validation_reward_final,warnings
bayes_qmix_independent,0.5,memory_union,2000.0,0.032511431723833084,40,nan,0.042413558810949326,task_potential,runs/thesis_v2/confirm/pdet_0p50/multi/bayes_qmix_independent/seed43,-0.061,-0.02824999894201763,43,complete,0.07622222222222222,0.41,0.32,0.2875425130599625,-6.917457707789669,-7.699012079382446,
bayes_qmix_independent,0.5,memory_union,2000.0,0.01173943281173706,40,nan,0.04125714674592018,task_potential,runs/thesis_v2/confirm/pdet_0p50/multi/bayes_qmix_independent/seed44,-0.030999999999999972,-0.012790000155568082,44,complete,0.08445555555555556,0.41,0.27,0.3422440589440704,-6.91644187394344,-8.836873332990091,
bayes_qmix_independent,0.5,memory_union,2000.0,0.019848672673106194,40,nan,0.041201360523700714,task_potential,runs/thesis_v2/confirm/pdet_0p50/multi/bayes_qmix_independent/seed45,-0.11199999999999999,-0.06811000016331681,45,complete,0.0759,0.475,0.475,0.37717544144366577,-7.133005826989691,-7.953065205674748,
bayes_qmix_independent,0.5,memory_union,2000.0,0.025485238060355186,40,nan,0.04347137361764908,task_potential,runs/thesis_v2/confirm/pdet_0p50/multi/bayes_qmix_independent/seed46,-0.08000000000000002,-0.04624999966472387,46,complete,0.08305555555555555,0.44,0.225,0.32297957485164547,-5.709897911418482,-8.565547501685105,
qmix_ddqn,0.5,memory_union,2000.0,0.0536440871655941,40,nan,nan,task_potential,runs/thesis_v2/confirm/pdet_0p50/multi/qmix_ddqn/seed43,nan,nan,43,complete,0.10004444444444445,0.52,0.43,0.34452041901738084,-5.320506245592056,-7.798723952619302,
qmix_ddqn,0.5,memory_union,2000.0,0.04599270969629288,40,nan,nan,task_potential,runs/thesis_v2/confirm/pdet_0p50/multi/qmix_ddqn/seed44,nan,nan,44,complete,0.20816666666666667,0.45,0.205,0.34830064249279874,-5.322050001036753,-9.342726450628916,collision finale élevée: 0.208
qmix_ddqn,0.5,memory_union,2000.0,0.010264339856803417,40,nan,nan,task_potential,runs/thesis_v2/confirm/pdet_0p50/multi/qmix_ddqn/seed45,nan,nan,45,complete,0.09934444444444444,0.415,0.275,0.30501768611508867,-7.348954995832969,-8.31738396127535,
qmix_ddqn,0.5,memory_union,2000.0,0.05534274876117706,40,nan,nan,task_potential,runs/thesis_v2/confirm/pdet_0p50/multi/qmix_ddqn/seed46,nan,nan,46,complete,0.12453333333333333,0.4,0.305,0.3149659946392605,-6.506111039021863,-8.556987082698699,
bayes_qmix_independent,0.7,memory_union,2000.0,0.00824691727757454,40,nan,0.04754980653524399,task_potential,runs/thesis_v2/confirm/pdet_0p70/multi/bayes_qmix_independent/seed43,-0.04099999999999998,-0.00034249900281424495,43,complete,0.060866666666666666,0.335,0.305,0.2578557467730716,-6.884132910701887,-6.9835787439148955,
bayes_qmix_independent,0.7,memory_union,2000.0,0.02724350057542324,40,nan,0.04325970634818077,task_potential,runs/thesis_v2/confirm/pdet_0p70/multi/bayes_qmix_independent/seed44,-0.04400000000000004,-0.029534999854862742,44,complete,0.06503333333333333,0.45,0.34,0.3327304999774225,-6.439254787288116,-8.131215832846744,
bayes_qmix_independent,0.7,memory_union,2000.0,0.01456371508538723,40,nan,0.04616304859519005,task_potential,runs/thesis_v2/confirm/pdet_0p70/multi/bayes_qmix_independent/seed45,-0.027000000000000024,-0.024740000367164616,45,complete,0.06297777777777777,0.385,0.38,0.3025795981724826,-6.99101645594774,-7.670734788703057,
bayes_qmix_independent,0.7,memory_union,2000.0,0.015172695741057396,40,nan,0.04207848384976387,task_potential,runs/thesis_v2/confirm/pdet_0p70/multi/bayes_qmix_independent/seed46,-0.0040000000000000036,-0.04094500069320206,46,complete,0.034666666666666665,0.34,0.295,0.23716859120390102,-6.688010411797718,-7.1913437418263495,
qmix_ddqn,0.7,memory_union,2000.0,0.03789706900715828,40,nan,nan,task_potential,runs/thesis_v2/confirm/pdet_0p70/multi/qmix_ddqn/seed43,nan,nan,43,complete,0.1046,0.47,0.34,0.2560031828830465,-5.6580652060664605,-7.57996207789922,
qmix_ddqn,0.7,memory_union,2000.0,0.06110766530036926,40,nan,nan,task_potential,runs/thesis_v2/confirm/pdet_0p70/multi/qmix_ddqn/seed44,nan,nan,44,complete,0.2543222222222222,0.53,0.255,0.30090805705304663,-6.437649369409313,-9.169855210148674,"régression tardive: completed final=0.255, max=0.530 | collision finale élevée: 0.254"
qmix_ddqn,0.7,memory_union,2000.0,0.02964487113058567,40,nan,nan,task_potential,runs/thesis_v2/confirm/pdet_0p70/multi/qmix_ddqn/seed45,nan,nan,45,complete,0.09728888888888888,0.45,0.255,0.2651622692721849,-5.799512703198697,-8.469009997411078,
qmix_ddqn,0.7,memory_union,2000.0,0.020183324813842773,40,nan,nan,task_potential,runs/thesis_v2/confirm/pdet_0p70/multi/qmix_ddqn/seed46,nan,nan,46,complete,0.09262222222222222,0.48,0.36,0.28820742707855357,-5.435482082528003,-7.728099370505667,
bayes_qmix_independent,1.0,memory_union,4000.0,0.048433974385261536,80,nan,0.07963462173938751,task_potential,runs/thesis_v2/confirm/pdet_1p00/multi/bayes_qmix_independent/seed43,-0.05199999999999999,-0.08914500042796136,43,complete,0.0734,0.41,0.26,0.2761645915553614,-6.165903327268862,-7.20749667016964,
bayes_qmix_independent,1.0,memory_union,4000.0,0.055624138563871384,80,nan,0.06271574646234512,task_potential,runs/thesis_v2/confirm/pdet_1p00/multi/bayes_qmix_independent/seed44,-0.05399999999999999,-0.06514999997615811,44,complete,0.07722222222222222,0.51,0.4,0.2695458745569297,-6.113174164182203,-8.420069161682829,
bayes_qmix_independent,1.0,memory_union,4000.0,0.030480774119496346,80,nan,0.06780032813549042,task_potential,runs/thesis_v2/confirm/pdet_1p00/multi/bayes_qmix_independent/seed45,-0.04299999999999998,-0.02283250021934513,45,complete,0.05706666666666667,0.5,0.28,0.22637983623990685,-6.195309160626933,-7.126111250501881,
bayes_qmix_independent,1.0,memory_union,900.0,0.04716413468122482,18,nan,0.03836654871702194,task_potential,runs/thesis_v2/confirm/pdet_1p00/multi/bayes_qmix_independent/seed46,nan,nan,46,trained,0.048,0.32,0.18,0.31685962012783636,-8.231150410613674,-8.231150410613674,évaluation détaillée finale absente
bayes_qmix_shared,1.0,memory_union,4000.0,0.007169404067099094,80,nan,0.07632517069578171,task_potential,runs/thesis_v2/confirm/pdet_1p00/multi/bayes_qmix_shared/seed43,-0.010000000000000009,-0.00512250064313402,43,complete,0.09395555555555556,0.32,0.28,0.31021555792906846,-7.289017501699184,-8.683127915915357,
bayes_qmix_shared,1.0,memory_union,4000.0,0.042220912873744965,80,nan,0.06564923375844955,task_potential,runs/thesis_v2/confirm/pdet_1p00/multi/bayes_qmix_shared/seed44,-0.01200000000000001,-0.009810000248253292,44,complete,0.05151111111111111,0.45,0.26,0.251400431161459,-5.939148744909469,-7.422679993331436,
bayes_qmix_shared,1.0,memory_union,4000.0,0.016145307570695877,80,nan,0.07448576390743256,task_potential,runs/thesis_v2/confirm/pdet_1p00/multi/bayes_qmix_shared/seed45,-0.0040000000000000036,-0.011595000296831137,45,complete,0.02471111111111111,0.42,0.21,0.16918166923997224,-5.229352914434177,-5.838408335755518,
bayes_qmix_shared,1.0,memory_union,4000.0,0.03783470019698143,80,nan,0.06511399894952774,task_potential,runs/thesis_v2/confirm/pdet_1p00/multi/bayes_qmix_shared/seed46,-0.019000000000000017,0.007867498658597427,46,complete,0.052533333333333335,0.46,0.42,0.2580105675858611,-6.4321670839553144,-7.121396662601339,
qmix_ddqn,1.0,memory_union,4000.0,0.023411307483911514,80,nan,nan,task_potential,runs/thesis_v2/confirm/pdet_1p00/multi/qmix_ddqn/seed43,nan,nan,43,complete,0.23286666666666667,0.59,0.32,0.3878943147340857,-5.75229582971459,-10.015630408292523,"régression tardive: completed final=0.320, max=0.590 | collision finale élevée: 0.233"
qmix_ddqn,1.0,memory_union,4000.0,0.014288094826042652,80,nan,nan,task_potential,runs/thesis_v2/confirm/pdet_1p00/multi/qmix_ddqn/seed44,nan,nan,44,complete,0.12593333333333334,0.43,0.4,0.33773436683266056,-5.5709954113187905,-8.747967912650362,
qmix_ddqn,1.0,memory_union,4000.0,0.03682626038789749,80,nan,nan,task_potential,runs/thesis_v2/confirm/pdet_1p00/multi/qmix_ddqn/seed45,nan,nan,45,complete,0.11084444444444444,0.54,0.19,0.27148745227925497,-6.539640832655628,-8.620865411353368,"régression tardive: completed final=0.190, max=0.540"
qmix_ddqn,1.0,memory_union,4000.0,0.03157429397106171,80,nan,nan,task_potential,runs/thesis_v2/confirm/pdet_1p00/multi/qmix_ddqn/seed46,nan,nan,46,complete,0.026711111111111113,0.45,0.2,0.17881864815534695,-5.8759608267222845,-6.6309683299956275,
shared_ddqn,1.0,memory_union,4000.0,0.06498359143733978,80,nan,nan,task_potential,runs/thesis_v2/confirm/pdet_1p00/multi/shared_ddqn/seed43,nan,nan,43,complete,0.06877777777777777,0.32,0.28,0.24551319260893706,-3.8358829143921565,-7.559013741537932,
shared_ddqn,1.0,memory_union,4000.0,0.04311631619930267,80,nan,nan,task_potential,runs/thesis_v2/confirm/pdet_1p00/multi/shared_ddqn/seed44,nan,nan,44,complete,0.11975555555555556,0.35,0.13,0.23336353378371158,-3.5943662493981416,-7.994972083960229,
shared_ddqn,1.0,memory_union,4000.0,0.05321911722421646,80,nan,nan,task_potential,runs/thesis_v2/confirm/pdet_1p00/multi/shared_ddqn/seed45,nan,nan,45,complete,0.0971111111111111,0.33,0.15,0.2904856872638341,-3.7373220810314023,-8.371206659177941,
shared_ddqn,1.0,memory_union,4000.0,0.10650273412466049,80,nan,nan,task_potential,runs/thesis_v2/confirm/pdet_1p00/multi/shared_ddqn/seed46,nan,nan,46,complete,0.13186666666666666,0.33,0.22,0.29958701461848875,-4.197674163916957,-8.704609987355774,
bdqn,1.0,,4000.0,0.0,80,299.0,nan,task_potential,runs/thesis_v2/confirm/pdet_1p00/single/bdqn/seed43,-0.056999999999999995,-0.02366999963484706,43,complete,nan,0.26,0.06,nan,-1.7854420827117161,-2.81153124933578,
bdqn,1.0,,4000.0,0.0,80,299.0,nan,task_potential,runs/thesis_v2/confirm/pdet_1p00/single/bdqn/seed44,-0.010999999999999996,-0.0217825000397861,44,complete,nan,0.12,0.09,nan,-2.211572912875998,-3.0509849980178285,
bdqn,1.0,,4000.0,0.0,80,299.0,nan,task_potential,runs/thesis_v2/confirm/pdet_1p00/single/bdqn/seed45,-0.056,-0.012067499911412594,45,complete,nan,0.15,0.04,nan,-1.5792374961853033,-2.8151024980265644,
bdqn,1.0,,4000.0,0.0,80,299.0,nan,task_potential,runs/thesis_v2/confirm/pdet_1p00/single/bdqn/seed46,-0.028000000000000004,-0.05317999981157484,46,complete,nan,0.1,0.02,nan,-1.7419837481116895,-2.775085000008344,
ddqn,1.0,,4000.0,0.002155118389055133,80,nan,nan,task_potential,runs/thesis_v2/confirm/pdet_1p00/single/ddqn/seed43,nan,nan,43,complete,nan,0.13,0.03,nan,-3.2487658350739026,-4.186855833021113,
ddqn,1.0,,4000.0,0.017588533461093903,80,nan,nan,task_potential,runs/thesis_v2/confirm/pdet_1p00/single/ddqn/seed44,nan,nan,44,complete,nan,0.13,0.05,nan,-2.195089579409576,-3.3242266680563466,
ddqn,1.0,,4000.0,0.005479882936924696,80,nan,nan,task_potential,runs/thesis_v2/confirm/pdet_1p00/single/ddqn/seed45,nan,nan,45,complete,nan,0.1,0.03,nan,-1.4438333305817412,-4.14413583220982,
ddqn,1.0,,4000.0,0.018653778359293938,80,nan,nan,task_potential,runs/thesis_v2/confirm/pdet_1p00/single/ddqn/seed46,nan,nan,46,complete,nan,0.14,0.03,nan,-1.7760699974072145,-3.3324770831766846,
