episode=50 train_reward=-7.807 val_reward=-10.085 val_completed=0.250 coverage=0.658 collision=0.208 loss=0.0140
episode=100 train_reward=-8.866 val_reward=-6.476 val_completed=0.520 coverage=0.650 collision=0.110 loss=0.0670
episode=150 train_reward=-6.679 val_reward=-5.321 val_completed=0.380 coverage=0.460 collision=0.056 loss=0.0287
episode=200 train_reward=-4.382 val_reward=-7.731 val_completed=0.495 coverage=0.607 collision=0.148 loss=0.1169
episode=250 train_reward=-7.262 val_reward=-6.682 val_completed=0.390 coverage=0.509 collision=0.091 loss=0.0876
episode=300 train_reward=-2.332 val_reward=-5.420 val_completed=0.510 coverage=0.530 collision=0.055 loss=0.0203
episode=350 train_reward=-6.503 val_reward=-6.830 val_completed=0.445 coverage=0.567 collision=0.084 loss=0.0935
episode=400 train_reward=-9.804 val_reward=-7.257 val_completed=0.365 coverage=0.619 collision=0.116 loss=0.1262
episode=450 train_reward=-6.785 val_reward=-6.386 val_completed=0.370 coverage=0.573 collision=0.085 loss=0.0708
episode=500 train_reward=1.499 val_reward=-6.885 val_completed=0.415 coverage=0.603 collision=0.096 loss=0.0597
episode=550 train_reward=-14.971 val_reward=-6.476 val_completed=0.400 coverage=0.560 collision=0.110 loss=0.0774
episode=600 train_reward=-11.917 val_reward=-7.742 val_completed=0.385 coverage=0.567 collision=0.127 loss=0.1084
episode=650 train_reward=5.644 val_reward=-7.695 val_completed=0.365 coverage=0.597 collision=0.100 loss=0.0773
episode=700 train_reward=-9.236 val_reward=-7.893 val_completed=0.330 coverage=0.546 collision=0.120 loss=0.0659
episode=750 train_reward=-6.972 val_reward=-7.236 val_completed=0.430 coverage=0.650 collision=0.092 loss=0.0685
episode=800 train_reward=-9.778 val_reward=-7.159 val_completed=0.440 coverage=0.635 collision=0.080 loss=0.1166
episode=850 train_reward=-6.567 val_reward=-7.962 val_completed=0.345 coverage=0.622 collision=0.105 loss=0.1309
episode=900 train_reward=-5.773 val_reward=-6.676 val_completed=0.415 coverage=0.556 collision=0.068 loss=0.0199
episode=950 train_reward=1.537 val_reward=-8.329 val_completed=0.285 coverage=0.541 collision=0.170 loss=0.1154
episode=1000 train_reward=-5.340 val_reward=-6.879 val_completed=0.365 coverage=0.565 collision=0.094 loss=0.0478
episode=1050 train_reward=-5.331 val_reward=-7.444 val_completed=0.305 coverage=0.495 collision=0.149 loss=0.1350
episode=1100 train_reward=-4.029 val_reward=-6.349 val_completed=0.460 coverage=0.560 collision=0.075 loss=0.0571
episode=1150 train_reward=-8.019 val_reward=-7.641 val_completed=0.365 coverage=0.537 collision=0.131 loss=0.0503
episode=1200 train_reward=3.346 val_reward=-7.135 val_completed=0.385 coverage=0.612 collision=0.075 loss=0.0475
episode=1250 train_reward=-5.910 val_reward=-7.806 val_completed=0.375 coverage=0.588 collision=0.108 loss=0.0228
episode=1300 train_reward=-9.806 val_reward=-6.683 val_completed=0.435 coverage=0.556 collision=0.094 loss=0.1729
episode=1350 train_reward=-8.690 val_reward=-8.350 val_completed=0.355 coverage=0.614 collision=0.099 loss=0.0541
episode=1400 train_reward=-10.044 val_reward=-7.641 val_completed=0.380 coverage=0.612 collision=0.085 loss=0.0257
episode=1450 train_reward=-6.203 val_reward=-9.107 val_completed=0.255 coverage=0.631 collision=0.133 loss=0.0481
episode=1500 train_reward=-12.591 val_reward=-7.897 val_completed=0.340 coverage=0.593 collision=0.100 loss=0.0517
episode=1550 train_reward=-7.055 val_reward=-7.395 val_completed=0.320 coverage=0.528 collision=0.099 loss=0.0868
episode=1600 train_reward=1.577 val_reward=-7.340 val_completed=0.290 coverage=0.606 collision=0.086 loss=0.0775
episode=1650 train_reward=-2.394 val_reward=-7.974 val_completed=0.260 coverage=0.560 collision=0.122 loss=0.0393
episode=1700 train_reward=-9.513 val_reward=-8.275 val_completed=0.365 coverage=0.628 collision=0.103 loss=0.1186
episode=1750 train_reward=-3.069 val_reward=-8.479 val_completed=0.260 coverage=0.616 collision=0.136 loss=0.0707
episode=1800 train_reward=0.403 val_reward=-7.681 val_completed=0.345 coverage=0.674 collision=0.071 loss=0.0213
episode=1850 train_reward=-12.734 val_reward=-8.571 val_completed=0.315 coverage=0.696 collision=0.111 loss=0.1531
episode=1900 train_reward=-6.180 val_reward=-7.774 val_completed=0.455 coverage=0.700 collision=0.099 loss=0.0449
episode=1950 train_reward=-6.848 val_reward=-7.260 val_completed=0.330 coverage=0.568 collision=0.072 loss=0.1656
episode=2000 train_reward=-11.399 val_reward=-7.799 val_completed=0.430 coverage=0.646 collision=0.100 loss=0.0536
