episode=50 train_reward=-5.693 val_reward=-8.917 val_completed=0.185 coverage=0.601 collision=0.136 loss=0.0116
episode=100 train_reward=-5.034 val_reward=-8.970 val_completed=0.235 coverage=0.672 collision=0.067 loss=0.0198
episode=150 train_reward=-7.156 val_reward=-7.102 val_completed=0.295 coverage=0.563 collision=0.075 loss=0.0127
episode=200 train_reward=-10.896 val_reward=-9.152 val_completed=0.170 coverage=0.639 collision=0.093 loss=0.0517
episode=250 train_reward=-6.949 val_reward=-9.917 val_completed=0.125 coverage=0.658 collision=0.102 loss=0.0491
episode=300 train_reward=-12.400 val_reward=-8.637 val_completed=0.205 coverage=0.566 collision=0.089 loss=0.0204
episode=350 train_reward=-8.435 val_reward=-7.601 val_completed=0.280 coverage=0.543 collision=0.058 loss=0.0098
episode=400 train_reward=-8.113 val_reward=-8.693 val_completed=0.205 coverage=0.603 collision=0.085 loss=0.0228
episode=450 train_reward=-4.098 val_reward=-8.817 val_completed=0.280 coverage=0.610 collision=0.103 loss=0.0252
episode=500 train_reward=-10.029 val_reward=-8.874 val_completed=0.225 coverage=0.606 collision=0.091 loss=0.0211
episode=550 train_reward=-9.829 val_reward=-8.442 val_completed=0.265 coverage=0.630 collision=0.067 loss=0.0329
episode=600 train_reward=-6.048 val_reward=-8.513 val_completed=0.245 coverage=0.594 collision=0.072 loss=0.0217
episode=650 train_reward=-7.351 val_reward=-8.370 val_completed=0.250 coverage=0.607 collision=0.073 loss=0.0291
episode=700 train_reward=6.065 val_reward=-8.851 val_completed=0.285 coverage=0.635 collision=0.070 loss=0.0315
episode=750 train_reward=5.296 val_reward=-8.183 val_completed=0.250 coverage=0.596 collision=0.060 loss=0.0196
episode=800 train_reward=-10.645 val_reward=-8.952 val_completed=0.210 coverage=0.621 collision=0.054 loss=0.0145
episode=850 train_reward=-7.807 val_reward=-8.375 val_completed=0.255 coverage=0.607 collision=0.060 loss=0.0273
episode=900 train_reward=-10.480 val_reward=-7.795 val_completed=0.275 coverage=0.515 collision=0.047 loss=0.0252
episode=950 train_reward=-12.928 val_reward=-8.348 val_completed=0.265 coverage=0.576 collision=0.086 loss=0.0476
episode=1000 train_reward=-11.575 val_reward=-8.215 val_completed=0.295 coverage=0.584 collision=0.099 loss=0.0290
episode=1050 train_reward=-7.538 val_reward=-8.256 val_completed=0.300 coverage=0.651 collision=0.079 loss=0.0101
episode=1100 train_reward=-9.294 val_reward=-8.112 val_completed=0.270 coverage=0.613 collision=0.058 loss=0.0294
episode=1150 train_reward=-8.226 val_reward=-8.285 val_completed=0.320 coverage=0.654 collision=0.068 loss=0.0237
episode=1200 train_reward=-10.570 val_reward=-9.301 val_completed=0.200 coverage=0.674 collision=0.077 loss=0.0123
episode=1250 train_reward=-8.830 val_reward=-9.090 val_completed=0.205 coverage=0.649 collision=0.088 loss=0.0257
episode=1300 train_reward=-7.749 val_reward=-8.329 val_completed=0.270 coverage=0.570 collision=0.072 loss=0.0295
episode=1350 train_reward=-8.263 val_reward=-7.870 val_completed=0.255 coverage=0.591 collision=0.055 loss=0.0358
episode=1400 train_reward=-11.522 val_reward=-7.833 val_completed=0.295 coverage=0.565 collision=0.070 loss=0.0167
episode=1450 train_reward=-1.538 val_reward=-6.991 val_completed=0.290 coverage=0.495 collision=0.041 loss=0.0456
episode=1500 train_reward=-6.932 val_reward=-8.870 val_completed=0.235 coverage=0.609 collision=0.076 loss=0.0209
episode=1550 train_reward=-5.830 val_reward=-8.578 val_completed=0.280 coverage=0.607 collision=0.073 loss=0.0138
episode=1600 train_reward=-8.001 val_reward=-8.177 val_completed=0.275 coverage=0.572 collision=0.071 loss=0.0265
episode=1650 train_reward=-11.462 val_reward=-8.801 val_completed=0.265 coverage=0.651 collision=0.076 loss=0.0341
episode=1700 train_reward=-6.530 val_reward=-7.047 val_completed=0.290 coverage=0.523 collision=0.066 loss=0.0203
episode=1750 train_reward=-8.414 val_reward=-7.170 val_completed=0.385 coverage=0.558 collision=0.067 loss=0.0112
episode=1800 train_reward=-10.303 val_reward=-8.262 val_completed=0.325 coverage=0.591 collision=0.074 loss=0.0140
episode=1850 train_reward=-10.239 val_reward=-7.144 val_completed=0.355 coverage=0.523 collision=0.050 loss=0.0378
episode=1900 train_reward=-7.403 val_reward=-8.353 val_completed=0.315 coverage=0.652 collision=0.060 loss=0.0887
episode=1950 train_reward=-12.979 val_reward=-7.596 val_completed=0.340 coverage=0.574 collision=0.093 loss=0.0273
episode=2000 train_reward=-3.309 val_reward=-7.671 val_completed=0.380 coverage=0.631 collision=0.063 loss=0.0146
