algo,boundary_hit_ratio_ci95_high,boundary_hit_ratio_ci95_low,boundary_hit_ratio_mean,boundary_hit_ratio_std,collision_agent_ratio_ci95_high,collision_agent_ratio_ci95_low,collision_agent_ratio_mean,collision_agent_ratio_std,completed_mean_ci95_high,completed_mean_ci95_low,completed_mean_mean,completed_mean_std,completed_value_mean_ci95_high,completed_value_mean_ci95_low,completed_value_mean_mean,completed_value_mean_std,coverage_overlap_ratio_mean_ci95_high,coverage_overlap_ratio_mean_ci95_low,coverage_overlap_ratio_mean_mean,coverage_overlap_ratio_mean_std,detected_mean_ci95_high,detected_mean_ci95_low,detected_mean_mean,detected_mean_std,detected_to_completed_ratio_ci95_high,detected_to_completed_ratio_ci95_low,detected_to_completed_ratio_mean,detected_to_completed_ratio_std,detected_value_mean_ci95_high,detected_value_mean_ci95_low,detected_value_mean_mean,detected_value_mean_std,detection_probability,episode_length_mean_ci95_high,episode_length_mean_ci95_low,episode_length_mean_mean,episode_length_mean_std,first_completion_step_mean_ci95_high,first_completion_step_mean_ci95_low,first_completion_step_mean_mean,first_completion_step_mean_std,first_detection_step_mean_ci95_high,first_detection_step_mean_ci95_low,first_detection_step_mean_mean,first_detection_step_mean_std,global_state_mode,had_completion_mean_ci95_high,had_completion_mean_ci95_low,had_completion_mean_mean,had_completion_mean_std,had_detection_mean_ci95_high,had_detection_mean_ci95_low,had_detection_mean_mean,had_detection_mean_std,is_baseline,knowledge_overlap_ratio_mean_ci95_high,knowledge_overlap_ratio_mean_ci95_low,knowledge_overlap_ratio_mean_mean,knowledge_overlap_ratio_mean_std,local_new_observed_cells_per_decision_ci95_high,local_new_observed_cells_per_decision_ci95_low,local_new_observed_cells_per_decision_mean,local_new_observed_cells_per_decision_std,local_sensor_revisit_ratio_ci95_high,local_sensor_revisit_ratio_ci95_low,local_sensor_revisit_ratio_mean,local_sensor_revisit_ratio_std,mean_local_coverage_ratio_mean_ci95_high,mean_local_coverage_ratio_mean_ci95_low,mean_local_coverage_ratio_mean_mean,mean_local_coverage_ratio_mean_std,n_training_seeds,new_observed_cells_per_step_ci95_high,new_observed_cells_per_step_ci95_low,new_observed_cells_per_step_mean,new_observed_cells_per_step_std,policy_mode,revisit_ratio_ci95_high,revisit_ratio_ci95_low,revisit_ratio_mean,revisit_ratio_std,reward_mean_ci95_high,reward_mean_ci95_low,reward_mean_mean,reward_mean_std,reward_mode,scope,sensor_coverage_ratio_mean_ci95_high,sensor_coverage_ratio_mean_ci95_low,sensor_coverage_ratio_mean_mean,sensor_coverage_ratio_mean_std,sensor_revisit_ratio_ci95_high,sensor_revisit_ratio_ci95_low,sensor_revisit_ratio_mean,sensor_revisit_ratio_std,simultaneous_sensor_overlap_ratio_mean_ci95_high,simultaneous_sensor_overlap_ratio_mean_ci95_low,simultaneous_sensor_overlap_ratio_mean_mean,simultaneous_sensor_overlap_ratio_mean_std,stay_ratio_ci95_high,stay_ratio_ci95_low,stay_ratio_mean,stay_ratio_std,team_coverage_ratio_mean_ci95_high,team_coverage_ratio_mean_ci95_low,team_coverage_ratio_mean_mean,team_coverage_ratio_mean_std,team_new_observed_cells_per_env_step_ci95_high,team_new_observed_cells_per_env_step_ci95_low,team_new_observed_cells_per_env_step_mean,team_new_observed_cells_per_env_step_std,tracking_progress_ratio_ci95_high,tracking_progress_ratio_ci95_low,tracking_progress_ratio_mean,tracking_progress_ratio_std,training_seeds,uncertainty_unit
baseline_local_frontier,nan,nan,0.0,nan,nan,nan,0.37841510166448294,nan,3.8567041545037526,3.583295845496248,3.72,0.6939740629158989,4.791071951542152,4.3889280484578475,4.59,1.0207350292803712,0.45478375008686756,0.34880231673171214,0.40179303340928985,0.2690055988646227,3.8567041545037526,3.583295845496248,3.72,0.6939740629158989,nan,nan,1.0,nan,4.791071951542152,4.3889280484578475,4.59,1.0207350292803712,1.0,77.76668296454095,59.61331703545905,68.69,46.07747714447917,4.826405424446254,4.653594575553746,4.74,0.43863424398922607,1.0,1.0,1.0,0.0,memory_union,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,True,0.17849252363493623,0.08150747636506378,0.13,0.2461706725018234,nan,nan,2.267336342019702,nan,nan,nan,0.4414034066094046,nan,0.4320213475812835,0.3516953185211258,0.39185833305120465,0.20388619843754655,1,,,,,deterministic,,,,,16.382980301961034,12.031242190881322,14.207111246421178,11.045726403322462,task_potential,multi,,,,,,,,,nan,nan,0.20351248042604528,nan,nan,nan,0.0,nan,0.7680213735352355,0.6884786345709961,0.7282500040531158,0.2018980254654829,nan,nan,4.197117484349978,nan,nan,nan,0.054156354636773915,nan,999,evaluation_episode
baseline_random,nan,nan,0.0,nan,nan,nan,0.0032,nan,0.3628115781712381,0.15718842182876192,0.26,0.5219195340279955,0.4198227647381538,0.1801772352618462,0.3,0.608276253029822,0.3241612517752072,0.27699663570420135,0.3005789437397043,0.11971479710869351,3.222508597832618,2.857491402167382,3.04,0.9264987857520374,nan,nan,0.08552631578947369,nan,4.025104402473999,3.514895597526001,3.77,1.2950289572052045,1.0,150.0,150.0,150.0,0.0,88.13077031592964,53.232866047706736,70.68181818181819,38.44285766933988,1.0,1.0,1.0,0.0,memory_union,0.3016013071790724,0.1383986928209276,0.22,0.41424630354415964,1.0,1.0,1.0,0.0,True,0.021901039764438544,-0.001901039764438544,0.01,0.060415229867972854,nan,nan,0.7363555555555555,nan,nan,nan,0.7244888888888888,nan,0.2864501515398575,0.2708165171374725,0.278633334338665,0.03968181078237479,1,,,,,deterministic,,,,,-7.924749987528924,-9.078450835696662,-8.501600411612793,2.928361862515695,task_potential,multi,,,,,,,,,nan,nan,0.030806207237697104,nan,nan,nan,0.0,nan,0.6501833258879638,0.6215166760670686,0.6358500009775162,0.07276264396868751,nan,nan,1.6756,nan,nan,nan,0.012555555555555556,nan,999,evaluation_episode
bayes_qmix_independent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,5.0,5.0,5.0,0.0,0.12517531374618307,0.0035650326912705713,0.06437017321872682,0.04897854020202435,4.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,5.0,0.0,1.0,21.4864,13.713600000000001,17.6,3.1304951684997055,3.7552,2.6448000000000005,3.2,0.44721359549995787,1.0,1.0,1.0,0.0,memory_union,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,False,0.0,0.0,0.0,0.0,3.3648010701893094,2.5160102398419495,2.9404056550156294,0.34185050348256263,0.48883727532071247,0.28380125835362685,0.38631926683716966,0.08257825500255832,0.15417393015896116,0.10749271942104069,0.13083332479000093,0.018800857435515732,5,,,,,posterior_mean,,,,,22.979251219727786,22.297998782604246,22.638625001166016,0.27437441629064047,task_potential,multi,,,,,,,,,0.08318652378722174,-0.020763073422534903,0.03121172518234342,0.04186569985496008,0.0,0.0,0.0,0.0,0.43345612880637613,0.30454387071678674,0.36899999976158143,0.05191941142314825,9.668991027660319,6.928668818886997,8.298829923273658,1.103664758477939,0.27577920802905753,0.1886879701465605,0.23223358908780903,0.035075995704226995,"42,43,44,45,46",training_seed
bayes_qmix_independent,0.0,0.0,0.0,0.0,0.009200292967594934,-0.00107703965835787,0.004061626654618532,0.00413919567345225,4.005103999999999,3.9828959999999998,3.9939999999999998,0.008944271909999142,5.005599567051932,4.978400432948068,4.992,0.010954451150103088,0.17226266660131045,0.025088117890461295,0.09867539224588587,0.05927454889685028,4.0,4.0,4.0,0.0,1.0012759999999998,0.9957239999999999,0.9984999999999999,0.0022360679774997855,5.0,5.0,5.0,0.0,1.0,25.106872578621605,16.433127421378394,20.77,3.493350826928209,4.302185357759383,2.649814642240617,3.476,0.6654922989787334,1.0,1.0,1.0,0.0,memory_union,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,False,0.001888,-0.0008879999999999999,0.0005,0.001118033988749895,2.8790234576444695,2.0649915485477774,2.4720075030961235,0.3278513480897214,0.5543471433238886,0.416700739321305,0.4855239413225968,0.05543708865421039,0.14894834321538364,0.10919831690391146,0.12907333005964755,0.016009322935853214,5,,,,,posterior_sample_independent,,,,,22.725178658605124,21.732883176849178,22.22903091772715,0.39964700125580027,task_potential,multi,,,,,,,,,0.07639260478945686,-0.007485485109976271,0.03445355983974029,0.033781900367069705,0.0,0.0,0.0,0.0,0.3992703498994545,0.30094965072520213,0.3501100003123283,0.03959866119397258,8.098747185318942,5.348121889571775,6.723434537445359,1.1078143267149003,0.2513882503329115,0.14748191923171627,0.1994350847823139,0.04184827442991232,"42,43,44,45,46",training_seed
bayes_qmix_independent,0.0,0.0,0.0,0.0,0.016603393484950626,-0.0053098268203747405,0.005646783332287943,0.008825549389163585,4.007104,3.984896,3.996,0.008944271909999166,5.007104,4.984896000000001,4.996,0.008944271909998969,0.15887455265405878,0.025723796871482185,0.09229917476277048,0.05362646635182178,4.0,4.0,4.0,0.0,1.001776,0.996224,0.999,0.0022360679774997916,5.0,5.0,5.0,0.0,1.0,23.569530379019987,15.358469620980012,19.464,3.307004687024196,4.25907463524064,2.66492536475936,3.4619999999999997,0.6420436122258361,1.0,1.0,1.0,0.0,memory_union,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,False,0.003776,-0.0017759999999999998,0.001,0.00223606797749979,2.7739757131032237,2.3890088019274627,2.581492257515343,0.15504542191590884,0.501672664165244,0.4365132096092063,0.46909293688722514,0.026242970058376933,0.15012340774176586,0.10488658527495397,0.12750499650835992,0.01821913006518032,5,,,,,posterior_sample_shared,,,,,22.858368334180884,21.969694334593637,22.41403133438726,0.3579134497322949,task_potential,multi,,,,,,,,,0.08526769711190725,-0.01135434615960633,0.03695667547615046,0.03891452753602856,0.0,0.0,0.0,0.0,0.4043470026643635,0.293412997624123,0.34888000014424325,0.04467867008038221,7.870932500525571,6.275772518288422,7.0733525094069964,0.6424506763814162,0.25890763168158965,0.16507251915930227,0.21199007542044596,0.0377920911880721,"42,43,44,45,46",training_seed
bayes_qmix_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,5.0,5.0,5.0,0.0,0.07736482743233868,0.02739954588145858,0.05238218665689863,0.020123516942126086,4.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,5.0,0.0,1.0,17.818672246009054,14.581327753990944,16.2,1.3038404810405297,7.891222774243227,1.7087772257567724,4.8,2.4899799195977463,1.0,1.0,1.0,0.0,memory_union,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,False,0.0,0.0,0.0,0.0,3.5640100589429564,2.0278635794012705,2.7959368191721135,0.6186829884099783,0.6391783861566152,0.22258631972573767,0.43088235294117644,0.1677824530667418,0.13594151062739718,0.09239181952702177,0.11416666507720948,0.01753963791418535,5,,,,,posterior_mean,,,,,22.96049105458397,22.709508949118977,22.835000001851473,0.10108304195888863,task_potential,multi,,,,,,,,,0.020415849507177848,0.011360190474744514,0.01588801999096118,0.0036471666386132767,0.0,0.0,0.0,0.0,0.382480631292461,0.267519368707539,0.325,0.0463006480401817,10.052106977590721,5.842337466853721,7.947222222222221,1.695484653388683,0.2724236432413995,0.22391622603964628,0.2481699346405229,0.019536362081423432,"42,43,44,45,46",training_seed
bayes_qmix_shared,0.0,0.0,0.0,0.0,0.0018938271604938268,-0.0008907407407407406,0.0005015432098765431,0.0011214847109373943,4.0,4.0,4.0,0.0,5.0,5.0,5.0,0.0,0.12167597367733947,0.044579914179222094,0.08312794392828078,0.031050437650424853,4.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,5.0,0.0,1.0,32.62986382891597,12.226136171084033,22.428,8.217601231503023,8.203300206100202,1.8126997938997969,5.008,2.573814290114965,1.0,1.0,1.0,0.0,memory_union,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,False,0.0,0.0,0.0,0.0,3.2036777072338216,1.3325883094903253,2.2681330083620734,0.7535812473583572,0.7346253294708649,0.3096624159986838,0.5221438727347744,0.17115381167870286,0.14579486878006145,0.09219846509607155,0.1189966669380665,0.02158595136652047,5,,,,,posterior_sample_independent,,,,,23.233172006323816,20.962162662413338,22.097667334368577,0.9146490040563816,task_potential,multi,,,,,,,,,0.02933884538918312,0.011278122472923162,0.02030848393105314,0.007273956081330242,0.0,0.0,0.0,0.0,0.3879176702901602,0.26377233036310666,0.32584500032663344,0.04999953515250549,8.767834162688786,3.657597071444703,6.212715617066745,2.0581479677886465,0.2731255830162096,0.12008504147171375,0.19660531224396166,0.06163707748682877,"42,43,44,45,46",training_seed
bayes_qmix_shared,0.0,0.0,0.0,0.0,0.0035608036080360802,-0.0016747847478474785,0.000943009430094301,0.002108633189114193,4.007104,3.984896,3.996,0.008944271909999166,5.007104,4.984896000000001,4.996,0.008944271909998969,0.13640592846652153,0.03370854969565724,0.08505723908108938,0.04136136888377096,4.0,4.0,4.0,0.0,1.001776,0.996224,0.999,0.0022360679774997916,5.0,5.0,5.0,0.0,1.0,32.33390436220266,12.25409563779734,22.294,8.087142882378178,8.161792475985743,1.8342075240142575,4.998,2.5484348137631456,1.0,1.0,1.0,0.0,memory_union,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,False,0.001888,-0.0008879999999999999,0.0005,0.001118033988749895,3.213708652227352,1.3243158673939717,2.269012259810662,0.7609529364346311,0.7366918233661333,0.3108797046586867,0.52378576401241,0.17149582908376448,0.15207349871293757,0.08656983531816745,0.11932166701555251,0.026381600166781465,5,,,,,posterior_sample_shared,,,,,23.343670184437617,20.82233531812044,22.08300275127903,1.0154676071912025,task_potential,multi,,,,,,,,,0.02982859780661475,0.012046067936877344,0.020937332871746046,0.0071619138329707,0.0,0.0,0.0,0.0,0.3960262048582943,0.2543937946219532,0.32520999974012377,0.05704245264870239,8.842297188579309,3.587859238473132,6.215078213526221,2.1162248631109626,0.27807483029883057,0.11839970963498708,0.19823726996690882,0.06430915420025854,"42,43,44,45,46",training_seed
qmix_ddqn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,5.0,5.0,5.0,0.0,0.01996856028762789,-0.0017690574470741443,0.009099751420276872,0.008754825454556688,4.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,5.0,5.0,5.0,0.0,1.0,40.52591774358384,6.274082256416158,23.4,13.794926603646719,4.838684090568446,2.761315909431554,3.8,0.8366600265340756,1.0,1.0,1.0,0.0,memory_union,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,False,0.0,0.0,0.0,0.0,3.6244629854345467,1.9845927421196334,2.80452786377709,0.6604577338492915,0.48096213976334057,0.2510898038211108,0.3660259717922257,0.09258108236914515,0.19739473875074073,0.10327191833944635,0.15033332854509354,0.03790796553920371,5,,,,,deterministic,,,,,23.962783856325437,20.03546614663243,21.999125001478934,1.5817271916628868,task_potential,multi,,,,,,,,,0.002547994904498716,-0.0007155703747057654,0.0009162122648964753,0.0013144009029735775,0.0,0.0,0.0,0.0,0.5833183639358498,0.3096816427398704,0.4465000033378601,0.11020718835273191,10.794994922648009,5.8861454282291845,8.340570175438597,1.9770391139834238,0.287708792198797,0.11807036156797285,0.20288957688338494,0.0683218772490824,"42,43,44,45,46",training_seed
shared_bdqn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3552,3.2447999999999997,3.8,0.4472135954999579,5.3552,4.2448,4.8,0.4472135954999579,0.17412667952076338,0.03761326435573158,0.10586997193824747,0.054980777404477994,4.0,4.0,4.0,0.0,1.0888,0.8111999999999999,0.95,0.11180339887498948,5.0,5.0,5.0,0.0,1.0,118.9955505593926,-21.795550559392602,48.6,56.703615405016286,3.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,memory_union,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,False,0.0,0.0,0.0,0.0,2.9260963324598452,1.2685634328955726,2.097329882677709,0.6675713685821408,0.6792990325201951,0.34294941468477375,0.5111242236024844,0.13546480722011492,0.30798365009515893,0.062016351692980407,0.18500000089406968,0.09906332843466259,5,,,,,posterior_mean,,,,,29.813736398302332,6.2400135932412635,18.0268749957718,9.494316764202736,task_potential,multi,,,,,,,,,0.04247149133546517,-0.0062566055844974315,0.018107442875483867,0.019625240837037917,0.0,0.0,0.0,0.0,0.781215662919393,0.2037843394647928,0.4925000011920929,0.23256046318122386,8.212016814966242,3.263627077373302,5.737821946169772,1.9929639467615565,0.22818790413613893,0.05623445611230825,0.1422111801242236,0.06925425049473385,"42,43,44,45,46",training_seed
