episode=50 train_reward=3.884 val_reward=-4.287 val_completed=2.000 coverage=0.652 collision=0.049 loss=0.1811
episode=100 train_reward=1.292 val_reward=0.924 val_completed=3.000 coverage=0.465 collision=0.187 loss=0.0385
episode=150 train_reward=21.707 val_reward=21.445 val_completed=4.000 coverage=0.350 collision=0.000 loss=0.0682
episode=200 train_reward=20.614 val_reward=20.428 val_completed=4.000 coverage=0.377 collision=0.000 loss=0.0306
episode=250 train_reward=22.726 val_reward=22.726 val_completed=4.000 coverage=0.290 collision=0.000 loss=0.0369
episode=300 train_reward=22.726 val_reward=22.726 val_completed=4.000 coverage=0.282 collision=0.000 loss=0.0402
episode=350 train_reward=22.725 val_reward=22.726 val_completed=4.000 coverage=0.280 collision=0.000 loss=0.0231
episode=400 train_reward=22.726 val_reward=22.725 val_completed=4.000 coverage=0.285 collision=0.000 loss=0.0288
episode=450 train_reward=22.736 val_reward=22.725 val_completed=4.000 coverage=0.285 collision=0.000 loss=0.0583
episode=500 train_reward=22.736 val_reward=22.735 val_completed=4.000 coverage=0.290 collision=0.000 loss=0.0141
episode=550 train_reward=22.726 val_reward=22.736 val_completed=4.000 coverage=0.285 collision=0.000 loss=0.0298
episode=600 train_reward=22.727 val_reward=22.725 val_completed=4.000 coverage=0.285 collision=0.000 loss=0.0313
episode=650 train_reward=22.726 val_reward=22.726 val_completed=4.000 coverage=0.290 collision=0.000 loss=0.0171
episode=700 train_reward=22.749 val_reward=22.727 val_completed=4.000 coverage=0.270 collision=0.000 loss=0.0250
episode=750 train_reward=22.735 val_reward=22.727 val_completed=4.000 coverage=0.270 collision=0.000 loss=0.0272
episode=800 train_reward=22.736 val_reward=22.728 val_completed=4.000 coverage=0.270 collision=0.000 loss=0.0214
episode=850 train_reward=22.736 val_reward=22.726 val_completed=4.000 coverage=0.275 collision=0.000 loss=0.0184
episode=900 train_reward=11.847 val_reward=22.726 val_completed=4.000 coverage=0.290 collision=0.000 loss=0.0488
episode=950 train_reward=22.772 val_reward=22.726 val_completed=4.000 coverage=0.275 collision=0.000 loss=0.0168
episode=1000 train_reward=22.725 val_reward=22.725 val_completed=4.000 coverage=0.303 collision=0.000 loss=0.1077
episode=1050 train_reward=22.728 val_reward=22.728 val_completed=4.000 coverage=0.262 collision=0.000 loss=0.0772
episode=1100 train_reward=22.749 val_reward=22.727 val_completed=4.000 coverage=0.280 collision=0.000 loss=0.0178
