step,agent_id,row,col,action,reward,cumulative_reward,detected,completed,collision_count,tracking
0,0,13,4,initial,0.0,0.0,0,0,0,False
0,1,15,6,initial,0.0,0.0,0,0,0,False
0,2,4,15,initial,0.0,0.0,0,0,0,False
1,0,13,3,left,1.750124983135611,1.750124983135611,1,0,0,False
1,1,15,6,stay,1.750124983135611,1.750124983135611,1,0,0,True
1,2,5,15,down,1.750124983135611,1.750124983135611,1,0,0,False
2,0,13,2,left,0.42054169634977956,2.1706666794853904,1,0,0,False
2,1,15,6,stay,0.42054169634977956,2.1706666794853904,1,0,0,True
2,2,6,15,down,0.42054169634977956,2.1706666794853904,1,0,0,False
3,0,13,1,left,4.403583300759395,6.574249980244786,1,1,0,False
3,1,15,6,stay,4.403583300759395,6.574249980244786,1,1,0,True
3,2,7,15,down,4.403583300759395,6.574249980244786,1,1,0,False
4,0,12,1,up,0.1062500061094759,6.680499986354262,1,1,0,False
4,1,16,6,down,0.1062500061094759,6.680499986354262,1,1,0,False
4,2,8,15,down,0.1062500061094759,6.680499986354262,1,1,0,False
5,0,11,1,up,0.09237501785159109,6.7728750042058525,1,1,0,False
5,1,17,6,down,0.09237501785159109,6.7728750042058525,1,1,0,False
5,2,8,14,left,0.09237501785159109,6.7728750042058525,1,1,0,False
6,0,10,1,up,1.0810000176727772,7.85387502187863,2,1,0,False
6,1,18,6,down,1.0810000176727772,7.85387502187863,2,1,0,False
6,2,9,14,down,1.0810000176727772,7.85387502187863,2,1,0,False
7,0,9,1,up,0.07962494373321562,7.933499965611846,2,1,0,False
7,1,19,6,down,0.07962494373321562,7.933499965611846,2,1,0,False
7,2,10,14,down,0.07962494373321562,7.933499965611846,2,1,0,False
8,0,8,1,up,1.3735000416636465,9.307000007275493,3,1,0,False
8,1,19,6,stay,1.3735000416636465,9.307000007275493,3,1,0,True
8,2,11,14,down,1.3735000416636465,9.307000007275493,3,1,0,False
9,0,7,1,up,2.3242917315165204,11.631291738792013,4,1,0,False
9,1,19,6,stay,2.3242917315165204,11.631291738792013,4,1,0,True
9,2,11,13,left,2.3242917315165204,11.631291738792013,4,1,0,False
10,0,7,2,right,4.600583297212918,16.23187503600493,4,2,0,False
10,1,19,6,stay,4.600583297212918,16.23187503600493,4,2,0,True
10,2,11,13,stay,4.600583297212918,16.23187503600493,4,2,0,True
11,0,7,3,right,0.2882916073004408,16.52016664330537,4,2,0,False
11,1,19,7,right,0.2882916073004408,16.52016664330537,4,2,0,False
11,2,11,13,stay,0.2882916073004408,16.52016664330537,4,2,0,True
12,0,7,4,right,4.30908339848121,20.82925004178658,4,3,0,False
12,1,19,8,right,4.30908339848121,20.82925004178658,4,3,0,False
12,2,11,13,stay,4.30908339848121,20.82925004178658,4,3,0,True
13,0,7,5,right,-0.0003751066327092184,20.82887493515387,4,3,0,False
13,1,19,8,stay,-0.0003751066327092184,20.82887493515387,4,3,0,False
13,2,11,12,left,-0.0003751066327092184,20.82887493515387,4,3,0,False
14,0,7,6,right,0.6090000891685486,21.43787502432242,4,3,0,False
14,1,19,8,stay,0.6090000891685486,21.43787502432242,4,3,0,False
14,2,11,12,stay,0.6090000891685486,21.43787502432242,4,3,0,True
15,0,7,7,right,0.6017082740863154,22.039583298408736,4,3,0,False
15,1,19,8,stay,0.6017082740863154,22.039583298408736,4,3,0,False
15,2,11,12,stay,0.6017082740863154,22.039583298408736,4,3,0,True
16,0,7,8,right,0.7391667024294541,22.77875000083819,4,4,0,False
16,1,19,8,stay,0.7391667024294541,22.77875000083819,4,4,0,False
16,2,11,12,stay,0.7391667024294541,22.77875000083819,4,4,0,True
