episode=50 train_reward=-10.096 val_reward=-9.232 val_completed=0.000 coverage=0.670 collision=0.129 loss=0.0121
episode=100 train_reward=-7.136 val_reward=-2.778 val_completed=1.000 coverage=0.590 collision=0.000 loss=0.0058
episode=150 train_reward=1.077 val_reward=-0.746 val_completed=3.000 coverage=0.853 collision=0.098 loss=0.0466
episode=200 train_reward=-4.407 val_reward=16.189 val_completed=4.000 coverage=0.502 collision=0.000 loss=0.0781
episode=250 train_reward=-4.342 val_reward=13.433 val_completed=4.000 coverage=0.600 collision=0.094 loss=0.0407
episode=300 train_reward=17.018 val_reward=0.624 val_completed=3.000 coverage=0.740 collision=0.000 loss=0.0300
episode=350 train_reward=19.111 val_reward=-1.196 val_completed=3.000 coverage=0.570 collision=0.258 loss=0.0505
episode=400 train_reward=17.728 val_reward=18.175 val_completed=4.000 coverage=0.655 collision=0.000 loss=0.0282
episode=450 train_reward=17.985 val_reward=19.125 val_completed=4.000 coverage=0.502 collision=0.000 loss=0.0217
episode=500 train_reward=16.841 val_reward=18.070 val_completed=4.000 coverage=0.590 collision=0.064 loss=0.0559
episode=550 train_reward=12.062 val_reward=18.985 val_completed=4.000 coverage=0.475 collision=0.000 loss=0.0274
episode=600 train_reward=18.448 val_reward=20.782 val_completed=4.000 coverage=0.412 collision=0.000 loss=0.0396
episode=650 train_reward=17.479 val_reward=18.767 val_completed=4.000 coverage=0.517 collision=0.000 loss=0.0313
episode=700 train_reward=19.294 val_reward=19.483 val_completed=4.000 coverage=0.502 collision=0.000 loss=0.0370
episode=750 train_reward=21.944 val_reward=22.630 val_completed=4.000 coverage=0.322 collision=0.000 loss=0.0189
episode=800 train_reward=17.431 val_reward=22.667 val_completed=4.000 coverage=0.327 collision=0.000 loss=0.0365
episode=850 train_reward=22.631 val_reward=22.628 val_completed=4.000 coverage=0.322 collision=0.000 loss=0.0277
episode=900 train_reward=22.634 val_reward=22.625 val_completed=4.000 coverage=0.355 collision=0.000 loss=0.0278
episode=950 train_reward=22.625 val_reward=22.636 val_completed=4.000 coverage=0.327 collision=0.000 loss=0.0215
episode=1000 train_reward=22.635 val_reward=22.628 val_completed=4.000 coverage=0.322 collision=0.000 loss=0.0720
episode=1050 train_reward=22.749 val_reward=22.748 val_completed=4.000 coverage=0.322 collision=0.000 loss=0.1079
episode=1100 train_reward=22.887 val_reward=22.873 val_completed=4.000 coverage=0.308 collision=0.000 loss=0.0796
episode=1150 train_reward=22.868 val_reward=22.870 val_completed=4.000 coverage=0.308 collision=0.000 loss=0.0444
episode=1200 train_reward=22.637 val_reward=22.870 val_completed=4.000 coverage=0.308 collision=0.000 loss=0.0454
episode=1250 train_reward=22.883 val_reward=22.870 val_completed=4.000 coverage=0.305 collision=0.000 loss=0.0254
episode=1300 train_reward=22.887 val_reward=22.870 val_completed=4.000 coverage=0.308 collision=0.000 loss=0.0292
episode=1350 train_reward=16.647 val_reward=22.875 val_completed=4.000 coverage=0.305 collision=0.000 loss=0.0154
