episode=50 train_reward=-6.196 val_reward=-8.612 val_completed=1.000 coverage=0.765 collision=0.044 loss=0.0843
episode=100 train_reward=-5.844 val_reward=-3.020 val_completed=2.000 coverage=0.470 collision=0.000 loss=0.0632
episode=150 train_reward=-2.223 val_reward=-2.811 val_completed=2.000 coverage=0.515 collision=0.004 loss=0.0408
episode=200 train_reward=0.755 val_reward=2.424 val_completed=3.000 coverage=0.535 collision=0.031 loss=0.0545
episode=250 train_reward=16.379 val_reward=3.408 val_completed=3.000 coverage=0.525 collision=0.000 loss=0.0487
episode=300 train_reward=1.318 val_reward=3.054 val_completed=3.000 coverage=0.695 collision=0.000 loss=0.1392
episode=350 train_reward=2.467 val_reward=3.550 val_completed=3.000 coverage=0.485 collision=0.000 loss=0.1975
episode=400 train_reward=16.218 val_reward=10.396 val_completed=4.000 coverage=0.477 collision=0.481 loss=0.0560
episode=450 train_reward=21.733 val_reward=21.852 val_completed=4.000 coverage=0.320 collision=0.000 loss=0.0470
episode=500 train_reward=21.781 val_reward=22.262 val_completed=4.000 coverage=0.278 collision=0.000 loss=0.0710
episode=550 train_reward=21.801 val_reward=21.887 val_completed=4.000 coverage=0.280 collision=0.000 loss=0.1162
episode=600 train_reward=20.546 val_reward=22.001 val_completed=4.000 coverage=0.322 collision=0.077 loss=0.0455
episode=650 train_reward=21.709 val_reward=21.953 val_completed=4.000 coverage=0.282 collision=0.023 loss=0.0643
episode=700 train_reward=21.283 val_reward=22.659 val_completed=4.000 coverage=0.357 collision=0.000 loss=0.0731
episode=750 train_reward=21.176 val_reward=16.968 val_completed=4.000 coverage=0.452 collision=0.198 loss=0.1014
episode=800 train_reward=21.892 val_reward=22.066 val_completed=4.000 coverage=0.355 collision=0.062 loss=0.0596
episode=850 train_reward=21.377 val_reward=22.182 val_completed=4.000 coverage=0.360 collision=0.042 loss=0.0590
episode=900 train_reward=21.857 val_reward=22.240 val_completed=4.000 coverage=0.308 collision=0.000 loss=0.0599
episode=950 train_reward=22.320 val_reward=22.604 val_completed=4.000 coverage=0.355 collision=0.033 loss=0.0694
episode=1000 train_reward=21.984 val_reward=21.988 val_completed=4.000 coverage=0.370 collision=0.053 loss=0.0615
episode=1050 train_reward=22.167 val_reward=22.637 val_completed=4.000 coverage=0.357 collision=0.000 loss=0.0412
episode=1100 train_reward=21.948 val_reward=22.378 val_completed=4.000 coverage=0.385 collision=0.000 loss=0.0493
episode=1150 train_reward=22.249 val_reward=22.644 val_completed=4.000 coverage=0.357 collision=0.000 loss=0.1523
episode=1200 train_reward=22.538 val_reward=22.212 val_completed=4.000 coverage=0.365 collision=0.058 loss=0.0434
episode=1250 train_reward=21.839 val_reward=22.356 val_completed=4.000 coverage=0.365 collision=0.000 loss=0.0680
episode=1300 train_reward=16.756 val_reward=21.940 val_completed=4.000 coverage=0.500 collision=0.000 loss=0.0996
episode=1350 train_reward=22.289 val_reward=22.381 val_completed=4.000 coverage=0.370 collision=0.000 loss=0.0367
episode=1400 train_reward=17.470 val_reward=22.014 val_completed=4.000 coverage=0.480 collision=0.000 loss=0.0951
episode=1450 train_reward=22.160 val_reward=22.592 val_completed=4.000 coverage=0.360 collision=0.033 loss=0.0585
episode=1500 train_reward=21.813 val_reward=22.115 val_completed=4.000 coverage=0.317 collision=0.145 loss=0.0339
episode=1550 train_reward=21.965 val_reward=22.265 val_completed=4.000 coverage=0.370 collision=0.000 loss=0.0467
episode=1600 train_reward=21.099 val_reward=22.198 val_completed=4.000 coverage=0.507 collision=0.000 loss=0.0739
episode=1650 train_reward=22.295 val_reward=22.157 val_completed=4.000 coverage=0.365 collision=0.087 loss=0.0927
episode=1700 train_reward=22.224 val_reward=22.275 val_completed=4.000 coverage=0.365 collision=0.000 loss=0.0269
episode=1750 train_reward=22.212 val_reward=22.167 val_completed=4.000 coverage=0.370 collision=0.000 loss=0.0296
episode=1800 train_reward=22.067 val_reward=22.223 val_completed=4.000 coverage=0.363 collision=0.029 loss=0.0650
episode=1850 train_reward=21.765 val_reward=22.142 val_completed=4.000 coverage=0.377 collision=0.087 loss=0.1115
episode=1900 train_reward=21.552 val_reward=22.268 val_completed=4.000 coverage=0.368 collision=0.000 loss=0.0255
episode=1950 train_reward=22.019 val_reward=22.631 val_completed=4.000 coverage=0.363 collision=0.000 loss=0.0895
episode=2000 train_reward=22.446 val_reward=22.152 val_completed=4.000 coverage=0.360 collision=0.087 loss=0.0216
episode=2050 train_reward=21.765 val_reward=22.264 val_completed=4.000 coverage=0.370 collision=0.000 loss=0.0518
episode=2100 train_reward=22.384 val_reward=22.154 val_completed=4.000 coverage=0.355 collision=0.087 loss=0.0664
episode=2150 train_reward=22.514 val_reward=21.872 val_completed=4.000 coverage=0.363 collision=0.000 loss=0.0220
episode=2200 train_reward=22.268 val_reward=21.934 val_completed=4.000 coverage=0.377 collision=0.053 loss=0.0243
episode=2250 train_reward=22.265 val_reward=22.265 val_completed=4.000 coverage=0.370 collision=0.000 loss=0.0233
episode=2300 train_reward=21.959 val_reward=22.582 val_completed=4.000 coverage=0.320 collision=0.000 loss=0.0242
episode=2350 train_reward=22.552 val_reward=22.557 val_completed=4.000 coverage=0.330 collision=0.000 loss=0.0353
episode=2400 train_reward=22.588 val_reward=22.561 val_completed=4.000 coverage=0.355 collision=0.000 loss=0.0223
episode=2450 train_reward=22.559 val_reward=22.542 val_completed=4.000 coverage=0.387 collision=0.000 loss=0.0791
episode=2500 train_reward=22.553 val_reward=22.550 val_completed=4.000 coverage=0.387 collision=0.000 loss=0.0310
episode=2550 train_reward=21.766 val_reward=22.578 val_completed=4.000 coverage=0.325 collision=0.000 loss=0.0293
episode=2600 train_reward=21.431 val_reward=22.557 val_completed=4.000 coverage=0.330 collision=0.000 loss=0.0303
episode=2650 train_reward=22.593 val_reward=22.610 val_completed=4.000 coverage=0.340 collision=0.000 loss=0.0686
episode=2700 train_reward=22.349 val_reward=22.560 val_completed=4.000 coverage=0.352 collision=0.000 loss=0.0490
episode=2750 train_reward=-2.795 val_reward=22.511 val_completed=4.000 coverage=0.423 collision=0.000 loss=0.0286
episode=2800 train_reward=-7.671 val_reward=22.557 val_completed=4.000 coverage=0.355 collision=0.000 loss=0.0452
episode=2850 train_reward=20.017 val_reward=22.541 val_completed=4.000 coverage=0.400 collision=0.000 loss=0.0310
episode=2900 train_reward=22.591 val_reward=22.523 val_completed=4.000 coverage=0.415 collision=0.000 loss=0.0302
episode=2950 train_reward=22.564 val_reward=22.505 val_completed=4.000 coverage=0.472 collision=0.000 loss=0.0562
episode=3000 train_reward=20.688 val_reward=22.542 val_completed=4.000 coverage=0.407 collision=0.000 loss=0.0262
episode=3050 train_reward=22.353 val_reward=22.561 val_completed=4.000 coverage=0.370 collision=0.000 loss=0.0502
episode=3100 train_reward=22.541 val_reward=22.536 val_completed=4.000 coverage=0.435 collision=0.000 loss=0.0224
episode=3150 train_reward=22.406 val_reward=22.588 val_completed=4.000 coverage=0.310 collision=0.000 loss=0.0304
episode=3200 train_reward=22.340 val_reward=22.567 val_completed=4.000 coverage=0.322 collision=0.000 loss=0.0306
episode=3250 train_reward=22.501 val_reward=22.510 val_completed=4.000 coverage=0.458 collision=0.000 loss=0.0467
episode=3300 train_reward=22.283 val_reward=22.556 val_completed=4.000 coverage=0.385 collision=0.000 loss=0.0253
episode=3350 train_reward=22.678 val_reward=22.563 val_completed=4.000 coverage=0.365 collision=0.000 loss=0.0324
episode=3400 train_reward=22.053 val_reward=22.502 val_completed=4.000 coverage=0.417 collision=0.000 loss=0.0174
episode=3450 train_reward=22.379 val_reward=22.569 val_completed=4.000 coverage=0.343 collision=0.000 loss=0.0138
episode=3500 train_reward=22.555 val_reward=22.554 val_completed=4.000 coverage=0.345 collision=0.000 loss=0.0262
episode=3550 train_reward=22.554 val_reward=22.544 val_completed=4.000 coverage=0.380 collision=0.000 loss=0.0472
episode=3600 train_reward=21.851 val_reward=22.530 val_completed=4.000 coverage=0.390 collision=0.000 loss=0.0193
episode=3650 train_reward=22.562 val_reward=22.599 val_completed=4.000 coverage=0.327 collision=0.000 loss=0.0132
episode=3700 train_reward=21.803 val_reward=22.555 val_completed=4.000 coverage=0.345 collision=0.000 loss=0.1314
episode=3750 train_reward=22.567 val_reward=22.546 val_completed=4.000 coverage=0.365 collision=0.000 loss=0.0362
episode=3800 train_reward=22.569 val_reward=22.552 val_completed=4.000 coverage=0.410 collision=0.000 loss=0.0180
episode=3850 train_reward=22.432 val_reward=22.533 val_completed=4.000 coverage=0.363 collision=0.000 loss=0.0151
episode=3900 train_reward=22.372 val_reward=22.558 val_completed=4.000 coverage=0.365 collision=0.000 loss=0.0289
episode=3950 train_reward=21.494 val_reward=22.702 val_completed=4.000 coverage=0.275 collision=0.000 loss=0.0168
episode=4000 train_reward=21.970 val_reward=22.714 val_completed=4.000 coverage=0.317 collision=0.000 loss=0.0175
