episode=50 train_reward=-13.246 val_reward=-13.196 val_completed=0.000 coverage=0.652 collision=0.044 loss=0.1266
episode=100 train_reward=-7.400 val_reward=6.283 val_completed=3.000 coverage=0.772 collision=0.000 loss=0.1689
episode=150 train_reward=-9.245 val_reward=-6.093 val_completed=2.000 coverage=0.603 collision=0.067 loss=0.1885
episode=200 train_reward=-7.167 val_reward=-9.112 val_completed=2.000 coverage=0.692 collision=0.316 loss=0.1495
episode=250 train_reward=-7.655 val_reward=-8.532 val_completed=2.000 coverage=0.803 collision=0.084 loss=0.1880
episode=300 train_reward=-0.251 val_reward=-5.878 val_completed=3.000 coverage=0.913 collision=0.000 loss=0.1725
episode=350 train_reward=-7.976 val_reward=5.842 val_completed=3.000 coverage=0.480 collision=0.000 loss=0.1424
episode=400 train_reward=-6.602 val_reward=-1.443 val_completed=3.000 coverage=0.725 collision=0.000 loss=0.1755
episode=450 train_reward=-4.523 val_reward=-6.376 val_completed=3.000 coverage=0.728 collision=0.089 loss=0.1204
episode=500 train_reward=-1.645 val_reward=2.406 val_completed=3.000 coverage=0.420 collision=0.000 loss=0.2959
episode=550 train_reward=22.486 val_reward=22.539 val_completed=4.000 coverage=0.298 collision=0.000 loss=0.2495
episode=600 train_reward=22.637 val_reward=22.748 val_completed=4.000 coverage=0.270 collision=0.000 loss=0.2854
episode=650 train_reward=-6.509 val_reward=22.334 val_completed=4.000 coverage=0.295 collision=0.000 loss=0.2479
episode=700 train_reward=1.346 val_reward=-0.047 val_completed=3.000 coverage=0.770 collision=0.067 loss=0.3997
episode=750 train_reward=0.789 val_reward=21.310 val_completed=4.000 coverage=0.410 collision=0.000 loss=0.3153
episode=800 train_reward=1.085 val_reward=22.774 val_completed=4.000 coverage=0.270 collision=0.000 loss=0.2473
episode=850 train_reward=21.379 val_reward=1.829 val_completed=3.000 coverage=0.522 collision=0.000 loss=0.4291
episode=900 train_reward=20.824 val_reward=22.641 val_completed=4.000 coverage=0.243 collision=0.000 loss=0.5699
episode=950 train_reward=1.774 val_reward=22.704 val_completed=4.000 coverage=0.235 collision=0.000 loss=0.5974
episode=1000 train_reward=22.617 val_reward=22.636 val_completed=4.000 coverage=0.225 collision=0.000 loss=0.3878
episode=1050 train_reward=22.670 val_reward=22.673 val_completed=4.000 coverage=0.303 collision=0.000 loss=0.3743
episode=1100 train_reward=22.621 val_reward=22.669 val_completed=4.000 coverage=0.303 collision=0.000 loss=0.2958
episode=1150 train_reward=-0.505 val_reward=22.754 val_completed=4.000 coverage=0.275 collision=0.000 loss=0.5158
episode=1200 train_reward=1.257 val_reward=22.745 val_completed=4.000 coverage=0.312 collision=0.000 loss=0.4927
episode=1250 train_reward=22.669 val_reward=22.651 val_completed=4.000 coverage=0.368 collision=0.000 loss=0.4613
episode=1300 train_reward=22.517 val_reward=22.592 val_completed=4.000 coverage=0.357 collision=0.000 loss=0.3706
episode=1350 train_reward=-4.947 val_reward=22.516 val_completed=4.000 coverage=0.280 collision=0.000 loss=0.3608
episode=1400 train_reward=2.579 val_reward=22.410 val_completed=4.000 coverage=0.282 collision=0.000 loss=0.4064
episode=1450 train_reward=22.608 val_reward=22.675 val_completed=4.000 coverage=0.345 collision=0.000 loss=0.4547
