episode=50 train_reward=-0.578 val_reward=-5.781 val_completed=0.000 coverage=0.093 loss=0.0000
episode=100 train_reward=0.714 val_reward=-2.203 val_completed=2.000 coverage=0.415 loss=0.0000
episode=150 train_reward=4.946 val_reward=4.988 val_completed=3.000 coverage=0.377 loss=0.0000
episode=200 train_reward=5.349 val_reward=5.570 val_completed=3.000 coverage=0.403 loss=0.0000
episode=250 train_reward=7.433 val_reward=20.426 val_completed=4.000 coverage=0.333 loss=0.0000
episode=300 train_reward=3.899 val_reward=10.718 val_completed=4.000 coverage=0.365 loss=0.0000
episode=350 train_reward=6.095 val_reward=6.270 val_completed=3.000 coverage=0.333 loss=0.0000
episode=400 train_reward=6.444 val_reward=4.864 val_completed=3.000 coverage=0.393 loss=0.0000
episode=450 train_reward=6.167 val_reward=5.919 val_completed=2.000 coverage=0.305 loss=0.0000
episode=500 train_reward=5.411 val_reward=20.645 val_completed=4.000 coverage=0.333 loss=0.0000
episode=550 train_reward=7.810 val_reward=17.171 val_completed=4.000 coverage=0.350 loss=0.0000
episode=600 train_reward=3.741 val_reward=18.649 val_completed=4.000 coverage=0.347 loss=0.0000
episode=650 train_reward=20.247 val_reward=19.411 val_completed=4.000 coverage=0.343 loss=0.0000
episode=700 train_reward=18.571 val_reward=20.490 val_completed=4.000 coverage=0.350 loss=0.0000
episode=750 train_reward=5.174 val_reward=4.682 val_completed=3.000 coverage=0.417 loss=0.0000
episode=800 train_reward=19.423 val_reward=19.582 val_completed=4.000 coverage=0.322 loss=0.0000
episode=850 train_reward=20.886 val_reward=20.507 val_completed=4.000 coverage=0.320 loss=0.0000
episode=900 train_reward=16.538 val_reward=20.890 val_completed=4.000 coverage=0.333 loss=0.0000
episode=950 train_reward=20.079 val_reward=20.890 val_completed=4.000 coverage=0.333 loss=0.0000
episode=1000 train_reward=20.716 val_reward=20.890 val_completed=4.000 coverage=0.333 loss=0.0000
episode=1050 train_reward=21.003 val_reward=20.890 val_completed=4.000 coverage=0.333 loss=0.0000
episode=1100 train_reward=5.316 val_reward=20.890 val_completed=4.000 coverage=0.333 loss=0.0000
episode=1150 train_reward=12.635 val_reward=20.890 val_completed=4.000 coverage=0.333 loss=0.0000
episode=1200 train_reward=17.888 val_reward=20.890 val_completed=4.000 coverage=0.333 loss=0.0000
episode=1250 train_reward=20.999 val_reward=20.999 val_completed=4.000 coverage=0.327 loss=0.0000
episode=1300 train_reward=5.594 val_reward=20.890 val_completed=4.000 coverage=0.333 loss=0.0000
episode=1350 train_reward=20.795 val_reward=20.999 val_completed=4.000 coverage=0.327 loss=0.0000
episode=1400 train_reward=15.441 val_reward=20.890 val_completed=4.000 coverage=0.333 loss=0.0000
episode=1450 train_reward=20.676 val_reward=20.890 val_completed=4.000 coverage=0.333 loss=0.0000
episode=1500 train_reward=14.478 val_reward=21.049 val_completed=4.000 coverage=0.315 loss=0.0000
episode=1550 train_reward=15.649 val_reward=21.003 val_completed=4.000 coverage=0.320 loss=0.0000
episode=1600 train_reward=15.902 val_reward=20.654 val_completed=4.000 coverage=0.315 loss=0.0000
episode=1650 train_reward=20.332 val_reward=20.890 val_completed=4.000 coverage=0.333 loss=0.0000
episode=1700 train_reward=20.627 val_reward=20.890 val_completed=4.000 coverage=0.333 loss=0.0000
episode=1750 train_reward=18.242 val_reward=20.890 val_completed=4.000 coverage=0.333 loss=0.0000
episode=1800 train_reward=20.849 val_reward=19.557 val_completed=4.000 coverage=0.327 loss=0.0000
episode=1850 train_reward=19.974 val_reward=20.886 val_completed=4.000 coverage=0.340 loss=0.0000
episode=1900 train_reward=4.277 val_reward=20.143 val_completed=4.000 coverage=0.322 loss=0.0000
episode=1950 train_reward=20.925 val_reward=20.159 val_completed=4.000 coverage=0.315 loss=0.0000
episode=2000 train_reward=19.462 val_reward=20.295 val_completed=4.000 coverage=0.333 loss=0.0000
episode=2050 train_reward=20.101 val_reward=20.890 val_completed=4.000 coverage=0.333 loss=0.0000
episode=2100 train_reward=19.450 val_reward=20.804 val_completed=4.000 coverage=0.320 loss=0.0000
episode=2150 train_reward=16.001 val_reward=20.847 val_completed=4.000 coverage=0.330 loss=0.0000
