episode=50 train_reward=-5.459 val_reward=4.096 val_completed=1.000 coverage=0.475 loss=0.0000
episode=100 train_reward=5.975 val_reward=5.775 val_completed=2.000 coverage=0.185 loss=0.0000
episode=150 train_reward=4.831 val_reward=8.192 val_completed=3.000 coverage=0.312 loss=0.0000
episode=200 train_reward=5.043 val_reward=4.741 val_completed=2.000 coverage=0.308 loss=0.0000
episode=250 train_reward=7.866 val_reward=8.043 val_completed=3.000 coverage=0.352 loss=0.0000
episode=300 train_reward=7.917 val_reward=7.149 val_completed=3.000 coverage=0.407 loss=0.0000
episode=350 train_reward=5.815 val_reward=5.023 val_completed=2.000 coverage=0.322 loss=0.0000
episode=400 train_reward=8.175 val_reward=8.059 val_completed=3.000 coverage=0.295 loss=0.0000
episode=450 train_reward=5.877 val_reward=6.836 val_completed=3.000 coverage=0.377 loss=0.0000
episode=500 train_reward=7.352 val_reward=6.869 val_completed=3.000 coverage=0.387 loss=0.0000
episode=550 train_reward=5.845 val_reward=7.264 val_completed=3.000 coverage=0.412 loss=0.0000
episode=600 train_reward=6.776 val_reward=5.856 val_completed=2.000 coverage=0.185 loss=0.0000
episode=650 train_reward=4.497 val_reward=7.348 val_completed=3.000 coverage=0.428 loss=0.0000
episode=700 train_reward=6.858 val_reward=6.728 val_completed=3.000 coverage=0.407 loss=0.0000
episode=750 train_reward=6.673 val_reward=5.894 val_completed=2.000 coverage=0.188 loss=0.0000
episode=800 train_reward=5.722 val_reward=6.976 val_completed=3.000 coverage=0.428 loss=0.0000
episode=850 train_reward=18.215 val_reward=8.344 val_completed=3.000 coverage=0.335 loss=0.0000
episode=900 train_reward=18.771 val_reward=4.170 val_completed=2.000 coverage=0.303 loss=0.0000
episode=950 train_reward=17.944 val_reward=15.891 val_completed=4.000 coverage=0.285 loss=0.0000
episode=1000 train_reward=18.636 val_reward=19.834 val_completed=4.000 coverage=0.308 loss=0.0000
episode=1050 train_reward=19.845 val_reward=19.355 val_completed=4.000 coverage=0.295 loss=0.0000
episode=1100 train_reward=20.598 val_reward=17.916 val_completed=4.000 coverage=0.308 loss=0.0000
episode=1150 train_reward=20.723 val_reward=20.615 val_completed=4.000 coverage=0.320 loss=0.0000
episode=1200 train_reward=5.504 val_reward=20.213 val_completed=4.000 coverage=0.308 loss=0.0000
episode=1250 train_reward=21.122 val_reward=20.366 val_completed=4.000 coverage=0.303 loss=0.0000
episode=1300 train_reward=19.899 val_reward=19.566 val_completed=4.000 coverage=0.305 loss=0.0000
episode=1350 train_reward=21.145 val_reward=21.145 val_completed=4.000 coverage=0.308 loss=0.0000
episode=1400 train_reward=20.547 val_reward=20.159 val_completed=4.000 coverage=0.305 loss=0.0000
episode=1450 train_reward=13.160 val_reward=20.278 val_completed=4.000 coverage=0.312 loss=0.0000
episode=1500 train_reward=18.026 val_reward=20.905 val_completed=4.000 coverage=0.305 loss=0.0000
episode=1550 train_reward=18.272 val_reward=20.044 val_completed=4.000 coverage=0.312 loss=0.0000
episode=1600 train_reward=6.542 val_reward=19.126 val_completed=4.000 coverage=0.312 loss=0.0000
episode=1650 train_reward=18.190 val_reward=17.966 val_completed=4.000 coverage=0.325 loss=0.0000
episode=1700 train_reward=19.442 val_reward=18.289 val_completed=4.000 coverage=0.298 loss=0.0000
episode=1750 train_reward=20.971 val_reward=21.146 val_completed=4.000 coverage=0.308 loss=0.0000
episode=1800 train_reward=19.242 val_reward=19.213 val_completed=4.000 coverage=0.298 loss=0.0000
episode=1850 train_reward=20.167 val_reward=20.544 val_completed=4.000 coverage=0.290 loss=0.0000
episode=1900 train_reward=21.005 val_reward=20.078 val_completed=4.000 coverage=0.295 loss=0.0000
episode=1950 train_reward=19.544 val_reward=21.128 val_completed=4.000 coverage=0.303 loss=0.0000
episode=2000 train_reward=19.825 val_reward=20.717 val_completed=4.000 coverage=0.290 loss=0.0000
episode=2050 train_reward=20.986 val_reward=20.760 val_completed=4.000 coverage=0.303 loss=0.0000
episode=2100 train_reward=20.734 val_reward=20.986 val_completed=4.000 coverage=0.303 loss=0.0000
episode=2150 train_reward=19.816 val_reward=20.303 val_completed=4.000 coverage=0.300 loss=0.0000
episode=2200 train_reward=20.380 val_reward=20.727 val_completed=4.000 coverage=0.308 loss=0.0000
episode=2250 train_reward=19.798 val_reward=20.727 val_completed=4.000 coverage=0.308 loss=0.0000
episode=2300 train_reward=19.764 val_reward=20.395 val_completed=4.000 coverage=0.303 loss=0.0000
episode=2350 train_reward=20.432 val_reward=17.825 val_completed=4.000 coverage=0.285 loss=0.0000
episode=2400 train_reward=19.379 val_reward=20.263 val_completed=4.000 coverage=0.315 loss=0.0000
episode=2450 train_reward=21.127 val_reward=20.392 val_completed=4.000 coverage=0.308 loss=0.0000
episode=2500 train_reward=17.395 val_reward=20.042 val_completed=4.000 coverage=0.308 loss=0.0000
episode=2550 train_reward=20.476 val_reward=20.829 val_completed=4.000 coverage=0.308 loss=0.0000
episode=2600 train_reward=20.629 val_reward=16.150 val_completed=4.000 coverage=0.290 loss=0.0000
episode=2650 train_reward=12.688 val_reward=14.879 val_completed=4.000 coverage=0.290 loss=0.0000
episode=2700 train_reward=20.855 val_reward=20.573 val_completed=4.000 coverage=0.290 loss=0.0000
episode=2750 train_reward=21.130 val_reward=20.471 val_completed=4.000 coverage=0.303 loss=0.0000
