episode=50 train_reward=-7.351 val_reward=-8.739 val_completed=0.000 coverage=0.385 loss=0.1370
episode=100 train_reward=-9.187 val_reward=1.935 val_completed=1.000 coverage=0.382 loss=0.0787
episode=150 train_reward=-0.936 val_reward=-1.098 val_completed=1.000 coverage=0.463 loss=0.0700
episode=200 train_reward=0.336 val_reward=0.064 val_completed=1.000 coverage=0.465 loss=0.1616
episode=250 train_reward=-1.147 val_reward=-0.723 val_completed=1.000 coverage=0.567 loss=0.2485
episode=300 train_reward=-1.346 val_reward=0.522 val_completed=1.000 coverage=0.505 loss=0.0552
episode=350 train_reward=9.195 val_reward=-1.528 val_completed=1.000 coverage=0.642 loss=0.1824
episode=400 train_reward=0.575 val_reward=0.398 val_completed=1.000 coverage=0.558 loss=0.0866
episode=450 train_reward=-6.018 val_reward=1.164 val_completed=1.000 coverage=0.507 loss=0.0067
episode=500 train_reward=1.038 val_reward=5.841 val_completed=2.000 coverage=0.308 loss=0.2825
episode=550 train_reward=2.232 val_reward=4.512 val_completed=2.000 coverage=0.365 loss=0.0335
episode=600 train_reward=3.433 val_reward=3.333 val_completed=2.000 coverage=0.357 loss=0.0360
episode=650 train_reward=6.030 val_reward=5.492 val_completed=3.000 coverage=0.490 loss=0.0396
episode=700 train_reward=4.719 val_reward=3.272 val_completed=2.000 coverage=0.525 loss=0.0692
episode=750 train_reward=5.312 val_reward=5.685 val_completed=3.000 coverage=0.512 loss=0.0756
episode=800 train_reward=5.282 val_reward=4.452 val_completed=3.000 coverage=0.460 loss=0.0273
episode=850 train_reward=4.425 val_reward=4.643 val_completed=3.000 coverage=0.632 loss=0.0354
episode=900 train_reward=3.238 val_reward=5.527 val_completed=3.000 coverage=0.558 loss=0.0173
episode=950 train_reward=6.011 val_reward=4.122 val_completed=3.000 coverage=0.655 loss=0.0110
episode=1000 train_reward=4.237 val_reward=5.749 val_completed=3.000 coverage=0.475 loss=0.0085
episode=1050 train_reward=6.502 val_reward=6.333 val_completed=3.000 coverage=0.350 loss=0.0211
episode=1100 train_reward=11.582 val_reward=4.809 val_completed=3.000 coverage=0.495 loss=0.0242
