algo,detection_probability,global_state_mode,last_episode,loss_final,metric_rows,posterior_rebuilds_final,posterior_std_mean_final,reward_mode,run_dir,sampled_minus_mean_completed,sampled_minus_mean_coverage,seed,status,validation_collision_final,validation_completed_best,validation_completed_final,validation_overlap_final,validation_reward_best,validation_reward_final,warnings
bayes_qmix_independent,0.7,memory_union,400.0,0.03854889050126076,8,nan,0.04044824093580246,task_potential,runs/thesis_v2/screen/pdet_0p70/multi/bayes_qmix_independent/seed42,-0.06333333333333335,-0.05533333232005444,42,complete,0.0758,0.29,0.23,0.33265763480469707,-7.143209995491807,-8.924282502457505,
bayes_qmix_independent,0.7,memory_union,400.0,0.03457970544695854,8,nan,0.039754629135131836,task_potential,runs/thesis_v2/screen/pdet_0p70/multi/bayes_qmix_independent/seed43,-0.026666666666666672,-0.07288333286841708,43,complete,0.07617777777777777,0.42,0.35,0.34404240860067054,-7.057739580171316,-8.093596246026463,
bayes_qmix_independent,0.7,memory_union,400.0,0.024674035608768463,8,nan,0.03963322564959526,task_potential,runs/thesis_v2/screen/pdet_0p70/multi/bayes_qmix_independent/seed44,-0.003333333333333327,-0.027250001132488322,44,complete,0.09437777777777778,0.3,0.24,0.36700641489218583,-8.914658332652358,-9.099637914268186,
bayes_qmix_shared,0.7,memory_union,400.0,0.029862359166145325,8,nan,0.04110157862305641,task_potential,runs/thesis_v2/screen/pdet_0p70/multi/bayes_qmix_shared/seed42,-0.03666666666666668,-0.07225833584864927,42,complete,0.05471111111111111,0.41,0.34,0.34972471687801665,-8.353134999165688,-8.520355410754938,
bayes_qmix_shared,0.7,memory_union,400.0,0.027996879070997238,8,nan,0.04067668318748474,task_potential,runs/thesis_v2/screen/pdet_0p70/multi/bayes_qmix_shared/seed43,0.026666666666666672,-0.04028333276510232,43,complete,0.09333333333333334,0.27,0.27,0.31162710476500627,-7.603567079810557,-7.880123749566085,
bayes_qmix_shared,0.7,memory_union,400.0,0.055122073739767075,8,nan,0.04016169533133507,task_potential,runs/thesis_v2/screen/pdet_0p70/multi/bayes_qmix_shared/seed44,0.010000000000000009,-0.02671666736404099,44,complete,0.08033333333333334,0.28,0.27,0.3552880388761026,-7.8429050005048575,-9.422387504412988,
qmix_ddqn,0.7,memory_union,400.0,0.16278773546218872,8,nan,nan,task_potential,runs/thesis_v2/screen/pdet_0p70/multi/qmix_ddqn/seed42,nan,nan,42,complete,0.08544444444444445,0.51,0.28,0.31422779549202334,-7.182403330098592,-8.83533457779264,
qmix_ddqn,0.7,memory_union,400.0,0.15947483479976654,8,nan,nan,task_potential,runs/thesis_v2/screen/pdet_0p70/multi/qmix_ddqn/seed43,nan,nan,43,complete,0.1655111111111111,0.51,0.31,0.30332580463190095,-5.493974166079862,-8.370349164346859,
qmix_ddqn,0.7,memory_union,400.0,0.02021646872162819,8,nan,nan,task_potential,runs/thesis_v2/screen/pdet_0p70/multi/qmix_ddqn/seed44,nan,nan,44,complete,0.11622222222222223,0.57,0.41,0.2790789524768885,-6.017620836399995,-7.719508328232673,
shared_bdqn,0.7,memory_union,400.0,0.0,8,118.0,nan,task_potential,runs/thesis_v2/screen/pdet_0p70/multi/shared_bdqn/seed42,-0.026666666666666672,-0.017199999764561658,42,complete,0.06168888888888889,0.36,0.29,0.22179981136828952,-5.600473748777807,-5.600473748777807,
shared_bdqn,0.7,memory_union,400.0,0.0,8,118.0,nan,task_potential,runs/thesis_v2/screen/pdet_0p70/multi/shared_bdqn/seed43,-0.06333333333333335,-0.006583333959182092,43,complete,0.1413111111111111,0.44,0.44,0.2559299545306505,-6.853320830116925,-6.853320830116925,
