[Best] episode=50 score=-1.839 metrics={'eval_reward': -2.138999999999996, 'eval_detected': 0.3, 'eval_completed': 0.0, 'eval_detected_value': 0.3, 'eval_completed_value': 0.0, 'eval_sensor_coverage': 0.05474999994039535, 'stay_ratio': 0.9773333333333334, 'boundary_hit_ratio': 0.0, 'revisit_ratio': 0.9933333333333333}

[Eval 50] {'eval_reward': -2.138999999999996, 'eval_detected': 0.3, 'eval_completed': 0.0, 'eval_detected_value': 0.3, 'eval_completed_value': 0.0, 'eval_sensor_coverage': 0.05474999994039535, 'stay_ratio': 0.9773333333333334, 'boundary_hit_ratio': 0.0, 'revisit_ratio': 0.9933333333333333}

[Eval 100] {'eval_reward': -6.160000000000009, 'eval_detected': 0.6, 'eval_completed': 0.1, 'eval_detected_value': 0.7, 'eval_completed_value': 0.1, 'eval_sensor_coverage': 0.14574999939650296, 'stay_ratio': 0.28733333333333333, 'boundary_hit_ratio': 0.5853333333333334, 'revisit_ratio': 0.9933333333333333}

[Best] episode=150 score=1.462 metrics={'eval_reward': -0.1380000000000016, 'eval_detected': 1.0, 'eval_completed': 0.3, 'eval_detected_value': 1.3, 'eval_completed_value': 0.5, 'eval_sensor_coverage': 0.16799999978393315, 'stay_ratio': 0.8113333333333334, 'boundary_hit_ratio': 0.042, 'revisit_ratio': 0.9933333333333333}

[Eval 150] {'eval_reward': -0.1380000000000016, 'eval_detected': 1.0, 'eval_completed': 0.3, 'eval_detected_value': 1.3, 'eval_completed_value': 0.5, 'eval_sensor_coverage': 0.16799999978393315, 'stay_ratio': 0.8113333333333334, 'boundary_hit_ratio': 0.042, 'revisit_ratio': 0.9933333333333333}

[Eval 200] {'eval_reward': -3.603500000000003, 'eval_detected': 1.2, 'eval_completed': 0.4, 'eval_detected_value': 1.3, 'eval_completed_value': 0.5, 'eval_sensor_coverage': 0.19950000159442424, 'stay_ratio': 0.35, 'boundary_hit_ratio': 0.43666666666666665, 'revisit_ratio': 0.994}

[Eval 250] {'eval_reward': -3.9700000000000046, 'eval_detected': 0.5, 'eval_completed': 0.2, 'eval_detected_value': 0.6, 'eval_completed_value': 0.2, 'eval_sensor_coverage': 0.10125000085681676, 'stay_ratio': 0.6166666666666667, 'boundary_hit_ratio': 0.316, 'revisit_ratio': 0.996}

[Eval 300] {'eval_reward': -4.209000000000007, 'eval_detected': 0.9, 'eval_completed': 0.4, 'eval_detected_value': 1.0, 'eval_completed_value': 0.5, 'eval_sensor_coverage': 0.17025000117719175, 'stay_ratio': 0.33, 'boundary_hit_ratio': 0.504, 'revisit_ratio': 0.9973333333333333}

[Eval 350] {'eval_reward': -2.1575000000000024, 'eval_detected': 1.1, 'eval_completed': 0.2, 'eval_detected_value': 1.3, 'eval_completed_value': 0.3, 'eval_sensor_coverage': 0.3067499980330467, 'stay_ratio': 0.4186666666666667, 'boundary_hit_ratio': 0.19266666666666668, 'revisit_ratio': 0.9953333333333333}

