Using device: cuda
torch threads: 1
train_every: 4, learning_starts: 1000

[Best] episode=50 score=-1.449 metrics={'eval_reward': -2.5490000000000004, 'eval_detected': 0.9, 'eval_completed': 0.1, 'eval_detected_value': 0.9, 'eval_completed_value': 0.1, 'eval_sensor_coverage': 0.14499999955296516, 'stay_ratio': 0.8166666666666667, 'boundary_hit_ratio': 0.10733333333333334, 'revisit_ratio': 0.9933333333333333}

[Eval 50] {'eval_reward': -2.5490000000000004, 'eval_detected': 0.9, 'eval_completed': 0.1, 'eval_detected_value': 0.9, 'eval_completed_value': 0.1, 'eval_sensor_coverage': 0.14499999955296516, 'stay_ratio': 0.8166666666666667, 'boundary_hit_ratio': 0.10733333333333334, 'revisit_ratio': 0.9933333333333333}

[Best] episode=100 score=-1.167 metrics={'eval_reward': -1.9669999999999976, 'eval_detected': 0.4, 'eval_completed': 0.2, 'eval_detected_value': 0.5, 'eval_completed_value': 0.2, 'eval_sensor_coverage': 0.04799999911338091, 'stay_ratio': 0.9446666666666667, 'boundary_hit_ratio': 0.043333333333333335, 'revisit_ratio': 1.0}

[Eval 100] {'eval_reward': -1.9669999999999976, 'eval_detected': 0.4, 'eval_completed': 0.2, 'eval_detected_value': 0.5, 'eval_completed_value': 0.2, 'eval_sensor_coverage': 0.04799999911338091, 'stay_ratio': 0.9446666666666667, 'boundary_hit_ratio': 0.043333333333333335, 'revisit_ratio': 1.0}

[Eval 150] {'eval_reward': -2.2254999999999976, 'eval_detected': 0.5, 'eval_completed': 0.0, 'eval_detected_value': 0.6, 'eval_completed_value': 0.0, 'eval_sensor_coverage': 0.19374999813735486, 'stay_ratio': 0.8653333333333333, 'boundary_hit_ratio': 0.028666666666666667, 'revisit_ratio': 0.994}

[Eval 200] {'eval_reward': -3.0269999999999997, 'eval_detected': 1.2, 'eval_completed': 0.1, 'eval_detected_value': 1.6, 'eval_completed_value': 0.1, 'eval_sensor_coverage': 0.3787499975413084, 'stay_ratio': 0.3426666666666667, 'boundary_hit_ratio': 0.222, 'revisit_ratio': 0.9933333333333333}

