Using device: cuda
torch threads: 1
train_every: 4, learning_starts: 1000

[Best] episode=50 score=-1.094 metrics={'eval_reward': -2.7944999999999984, 'eval_detected': 0.9, 'eval_completed': 0.4, 'eval_detected_value': 1.1, 'eval_completed_value': 0.4, 'eval_sensor_coverage': 0.15099999941885472, 'stay_ratio': 0.6166666666666667, 'boundary_hit_ratio': 0.24133333333333334, 'revisit_ratio': 0.994}

[Eval 50] {'eval_reward': -2.7944999999999984, 'eval_detected': 0.9, 'eval_completed': 0.4, 'eval_detected_value': 1.1, 'eval_completed_value': 0.4, 'eval_sensor_coverage': 0.15099999941885472, 'stay_ratio': 0.6166666666666667, 'boundary_hit_ratio': 0.24133333333333334, 'revisit_ratio': 0.994}

[Eval 100] {'eval_reward': -4.076499999999999, 'eval_detected': 1.3, 'eval_completed': 0.5, 'eval_detected_value': 1.4, 'eval_completed_value': 0.5, 'eval_sensor_coverage': 0.24800000339746475, 'stay_ratio': 0.29533333333333334, 'boundary_hit_ratio': 0.448, 'revisit_ratio': 0.994}

[Best] episode=150 score=-0.544 metrics={'eval_reward': -2.2439999999999984, 'eval_detected': 1.1, 'eval_completed': 0.3, 'eval_detected_value': 1.3, 'eval_completed_value': 0.3, 'eval_sensor_coverage': 0.15149999894201754, 'stay_ratio': 0.688, 'boundary_hit_ratio': 0.14866666666666667, 'revisit_ratio': 0.9933333333333333}

[Eval 150] {'eval_reward': -2.2439999999999984, 'eval_detected': 1.1, 'eval_completed': 0.3, 'eval_detected_value': 1.3, 'eval_completed_value': 0.3, 'eval_sensor_coverage': 0.15149999894201754, 'stay_ratio': 0.688, 'boundary_hit_ratio': 0.14866666666666667, 'revisit_ratio': 0.9933333333333333}

[Best] episode=200 score=-0.533 metrics={'eval_reward': -2.5329999999999986, 'eval_detected': 1.2, 'eval_completed': 0.4, 'eval_detected_value': 1.2, 'eval_completed_value': 0.4, 'eval_sensor_coverage': 0.2202499970793724, 'stay_ratio': 0.5906666666666667, 'boundary_hit_ratio': 0.202, 'revisit_ratio': 0.9933333333333333}

[Eval 200] {'eval_reward': -2.5329999999999986, 'eval_detected': 1.2, 'eval_completed': 0.4, 'eval_detected_value': 1.2, 'eval_completed_value': 0.4, 'eval_sensor_coverage': 0.2202499970793724, 'stay_ratio': 0.5906666666666667, 'boundary_hit_ratio': 0.202, 'revisit_ratio': 0.9933333333333333}

[Best] episode=250 score=-0.424 metrics={'eval_reward': -3.1240000000000014, 'eval_detected': 1.7, 'eval_completed': 0.5, 'eval_detected_value': 1.9, 'eval_completed_value': 0.5, 'eval_sensor_coverage': 0.2764999970793724, 'stay_ratio': 0.21933333333333332, 'boundary_hit_ratio': 0.34933333333333333, 'revisit_ratio': 0.9933333333333333}

[Eval 250] {'eval_reward': -3.1240000000000014, 'eval_detected': 1.7, 'eval_completed': 0.5, 'eval_detected_value': 1.9, 'eval_completed_value': 0.5, 'eval_sensor_coverage': 0.2764999970793724, 'stay_ratio': 0.21933333333333332, 'boundary_hit_ratio': 0.34933333333333333, 'revisit_ratio': 0.9933333333333333}

[Eval 300] {'eval_reward': -3.4529999999999994, 'eval_detected': 0.6, 'eval_completed': 0.1, 'eval_detected_value': 0.6, 'eval_completed_value': 0.1, 'eval_sensor_coverage': 0.17025000005960464, 'stay_ratio': 0.3, 'boundary_hit_ratio': 0.21466666666666667, 'revisit_ratio': 0.9933333333333333}

[Eval 350] {'eval_reward': -2.697, 'eval_detected': 0.8, 'eval_completed': 0.2, 'eval_detected_value': 0.9, 'eval_completed_value': 0.2, 'eval_sensor_coverage': 0.2545000024139881, 'stay_ratio': 0.32, 'boundary_hit_ratio': 0.16066666666666668, 'revisit_ratio': 0.9933333333333333}

[Eval 400] {'eval_reward': -2.9979999999999998, 'eval_detected': 0.7, 'eval_completed': 0.0, 'eval_detected_value': 0.8, 'eval_completed_value': 0.0, 'eval_sensor_coverage': 0.234749998152256, 'stay_ratio': 0.6126666666666667, 'boundary_hit_ratio': 0.13866666666666666, 'revisit_ratio': 0.996}

[Eval 450] {'eval_reward': -3.6879999999999953, 'eval_detected': 0.9, 'eval_completed': 0.2, 'eval_detected_value': 1.0, 'eval_completed_value': 0.2, 'eval_sensor_coverage': 0.2647499985992908, 'stay_ratio': 0.36933333333333335, 'boundary_hit_ratio': 0.294, 'revisit_ratio': 0.996}

