metric,n_training_seeds,mean,std,ci95_low,ci95_high
reward_mean,4,23.351476500000004,0.7936519483625444,22.088776250155195,24.614176749844813
detected_mean,4,2.731,0.1099484727800557,2.5560719798069313,2.9059280201930684
completed_mean,4,2.48375,0.10977363071339123,2.309100153534995,2.6583998464650054
detected_value_mean,4,3.4164999999999996,0.12505598746161656,3.2175359239485677,3.6154640760514316
completed_value_mean,4,3.1317500000000003,0.11618196934120203,2.946904486778148,3.3165955132218525
sensor_coverage_ratio_mean,4,0.6922831250838936,0.0276535755144587,0.6482862864403898,0.7362799637273973
first_detection_step_mean,4,23.4616573492013,0.8624028206310507,22.0895744615773,24.8337402368253
first_completion_step_mean,4,31.491277246600085,1.4389677848842939,29.201879500849174,33.780674992350995
had_detection_mean,4,0.98825,0.003095695936834454,0.9833247477644963,0.9931752522355036
had_completion_mean,4,0.9742500000000001,0.008015609770940705,0.9614971648544334,0.9870028351455667
detected_to_completed_ratio,4,0.9094159230248005,0.013058534357287103,0.8886397948623567,0.9301920511872442
stay_ratio,4,0.0,0.0,0.0,0.0
tracking_progress_ratio,4,0.05299641682755154,0.002640617369361244,0.0487951945928978,0.05719763906220528
