episode,global_step,train_reward,train_detected,train_completed,train_completed_value,validation_reward,validation_reward_std,validation_detected,validation_completed,validation_completed_value,validation_coverage,validation_local_coverage,validation_overlap,validation_knowledge_overlap,validation_simultaneous_overlap,validation_collision,validation_episode_length,validation_first_detection,validation_first_completion,validation_stay,validation_local_sensor_revisit,validation_local_new_observed,validation_team_new_observed,validation_tracking_progress,best_score,loss,td_loss,kl_loss,q_mean,q_tot_mean,target_mean,epsilon,posterior_rebuilds,predictive_epistemic_std_mean,predictive_selected_std_mean,predictive_max_std_mean,td_residual_variance,posterior_std_mean,posterior_std_min,posterior_std_max,posterior_kl_per_parameter
50,7500,27.65199999999996,4,3,4,-1.4213000000000104,9.17486042455143,1.71,0.95,1.19,0.47957499951124194,0.20915000103414058,0.27177028506010337,0.19083333333333333,0.05493070268950927,0.02771111111111111,150.0,43.83132530120482,58.921875,0.0,0.8645111111111111,0.5510666666666667,1.2588666666666666,0.0064,12.1915523460577,0.12059494107961655,,,1.8766040802001953,,1.9263505935668945,0.64375,,,,,,,,,
100,14924,4.8919999999999995,3,1,1,10.778219999999992,10.554995030392002,2.19,1.64,2.06,0.6057500019669533,0.3158916683495045,0.4546073101152512,0.1708333333333333,0.08698719847915824,0.077209510991476,148.6,28.690721649484537,52.59770114942529,0.0,0.7570435172723194,0.8435845670704352,1.610363391655451,0.01110363391655451,22.596751837267764,0.23641324043273926,,,3.044724225997925,,3.2239396572113037,0.2911100000000001,,,,,,,,,
150,22163,8.98100000000002,2,2,2,11.777089999999987,10.816476611258384,2.26,1.71,2.13,0.5947749999165535,0.2949499997496605,0.41063849221246224,0.12666666666666665,0.08426952239386958,0.07428429848863662,147.99,20.094736842105263,33.60674157303371,0.0,0.7677771020564452,0.7904588147847827,1.587336982228529,0.011712503097056107,23.882286704295385,0.5507396459579468,,,3.489197254180908,,4.063206195831299,0.050000000000000044,,,,,,,,,
200,29592,25.321000000000005,4,3,4,15.467759999999988,10.162261455128958,2.59,1.96,2.53,0.6353499978780747,0.3150416652858257,0.4160975036336112,0.13,0.07922851231400649,0.08056543425261133,149.03,18.7319587628866,31.344086021505376,0.0,0.7443020420944328,0.8388691314947774,1.6851640609273302,0.013531951061307567,27.98479382763796,0.2871384024620056,,,2.7731170654296875,,2.9366891384124756,0.050000000000000044,,,,,,,,,
250,36827,6.894,2,1,1,15.850489999999994,10.219165352899415,2.5,2.05,2.56,0.6331249961256981,0.318349998742342,0.4249212695394104,0.10833333333333334,0.08592397548997208,0.09451089037547582,147.99,21.23469387755102,35.0,0.0,0.7405905804446247,0.8537063315088858,1.6909926346374755,0.014775773137824627,28.914798785920446,0.41932225227355957,,,2.9843225479125977,,3.3122425079345703,0.050000000000000044,,,,,,,,,
300,43963,15.775999999999994,4,3,3,15.799739999999987,10.074748875897594,2.63,1.91,2.46,0.6919249987602234,0.3733000010251999,0.4973499715118522,0.13749999999999998,0.09033253319829161,0.10955030763662685,147.36,20.353535353535353,38.0,0.0,0.7051891060441549,1.006514657980456,1.857831161780673,0.013956749909518638,28.914798785920446,0.44699352979660034,,,2.829777479171753,,3.0069150924682617,0.050000000000000044,,,,,,,,,
350,51193,20.515999999999927,2,2,3,19.66455999999998,9.414640057187519,2.88,2.28,2.93,0.7291500023007393,0.38301666676998136,0.4671823288236967,0.0875,0.07102958225395274,0.08000727752382251,146.57,19.01,40.41237113402062,0.0,0.6919560619499215,1.038457164949626,1.9694343999454185,0.01692024288735758,32.70709580074167,0.3977690637111664,,,2.7994210720062256,,2.8555660247802734,0.050000000000000044,,,,,,,,,
400,58458,26.04600000000001,4,3,4,16.529679999999995,11.285631931690839,2.81,1.96,2.56,0.7171499985456466,0.3774083334207535,0.4685926826576857,0.13583333333333333,0.08514974388937069,0.08665614348134422,145.71,18.193877551020407,40.903225806451616,0.0,0.7044815043579713,1.0291904010248667,1.9481161210623843,0.014778212431084575,32.70709580074167,0.40311574935913086,,,2.6311516761779785,,2.9019038677215576,0.050000000000000044,,,,,,,,,
450,65863,11.410999999999989,3,2,2,16.012319999999992,10.161729365496795,2.71,1.81,2.41,0.7158249992132187,0.3697416669130325,0.456626180240644,0.07666666666666666,0.08097805862642031,0.08063753630039847,148.07,24.32,38.58888888888889,0.0,0.7076157673172598,0.9920758199950473,1.9134868643209293,0.013236982508273114,32.70709580074167,0.5188785791397095,,,2.7662792205810547,,3.069368362426758,0.050000000000000044,,,,,,,,,
500,73151,22.635999999999957,3,2,3,16.391149999999985,11.300658078514704,2.52,2.06,2.61,0.6502000001072884,0.3492999990284443,0.4940781464945508,0.125,0.07753843852458434,0.08039134247081084,144.46,23.242424242424242,34.72631578947368,0.0,0.7161844109095944,0.9602658175273432,1.7795929669112558,0.015575245742766164,32.70709580074167,0.3732815682888031,,,2.688253164291382,,2.7787463665008545,0.050000000000000044,,,,,,,,,
