episode,global_step,train_reward,train_detected,train_completed,train_completed_value,validation_reward,validation_reward_std,validation_detected,validation_completed,validation_completed_value,validation_coverage,validation_local_coverage,validation_overlap,validation_knowledge_overlap,validation_simultaneous_overlap,validation_collision,validation_episode_length,validation_first_detection,validation_first_completion,validation_stay,validation_local_sensor_revisit,validation_local_new_observed,validation_team_new_observed,validation_tracking_progress,best_score,loss,td_loss,kl_loss,q_mean,q_tot_mean,target_mean,epsilon,posterior_rebuilds,predictive_epistemic_std_mean,predictive_selected_std_mean,predictive_max_std_mean,td_residual_variance,posterior_std_mean,posterior_std_min,posterior_std_max,posterior_kl_per_parameter
50,7500,3.6209999999999893,3,0,0,4.366709999999998,7.098059419721696,2.52,0.36,0.51,0.633075000345707,0.3683250020444393,0.5369931329600324,0.24833333333333332,0.18296887238090112,0.1986888888888889,150.0,15.126315789473685,35.54838709677419,0.0,0.7621555555555556,0.9755333333333334,1.6682,0.0024,4.174209196791233,0.010998493991792202,0.00846564769744873,0.002532846527174115,1.281511902809143,1.281511902809143,1.2899075746536255,,,,,,,0.04851814731955528,0.03549250215291977,0.05061975121498108,2.532850742340088
100,15000,20.900999999999968,3,2,3,8.87210999999999,9.910851719095577,2.42,1.12,1.48,0.6219499987363816,0.3198249988257885,0.4509774752330182,0.12333333333333332,0.09951657014941402,0.08773946360153256,147.9,15.89795918367347,27.767123287671232,0.0,0.7780707685373,0.8582150101419879,1.6617985125084516,0.007798061753437007,15.706316424589037,0.052596110850572586,0.05001355707645416,0.0025825549382716417,2.879823684692383,2.879823684692383,2.8428611755371094,,,,,,,0.04637846350669861,0.026370631530880928,0.04987252503633499,2.5825612545013428
150,22500,24.90099999999999,3,2,3,13.490969999999987,9.590977750422518,2.86,1.62,2.08,0.7130000016093254,0.40714166715741157,0.5343799553396268,0.155,0.08406807033346449,0.08542838426961216,147.57,14.09,40.68888888888889,0.0,0.7056989903096835,1.0968128119988254,1.9123128007047503,0.011226310677418626,22.77016304923235,0.08047903329133987,0.07784657180309296,0.002632461255416274,5.222266674041748,5.222266674041748,5.180704116821289,,,,,,,0.044289153069257736,0.020528461784124374,0.04836241900920868,2.632467269897461
200,30000,19.36599999999994,4,2,3,17.584249999999983,9.257452548487613,2.84,1.85,2.45,0.7404749980568885,0.4256333327293396,0.5563612853276919,0.20166666666666663,0.08774070005600286,0.10449194755299426,149.23,9.464646464646465,41.670212765957444,0.0,0.6860774196430566,1.1341776675824788,1.9646853849762111,0.012620339967388148,26.50599945708295,0.20084553956985474,0.1981678456068039,0.002677700947970152,5.748159408569336,5.748159408569336,5.7633957862854,,,,,,,0.042480189353227615,0.017018187791109085,0.047169964760541916,2.6777079105377197
250,37398,27.18599999999998,4,3,4,21.511229999999976,10.314678575559196,3.17,2.32,2.98,0.7915749996900558,0.4440833340585232,0.5355477839737215,0.145,0.0640731688987062,0.07866286696521464,147.38,11.51,42.68041237113402,0.0,0.6650382231872257,1.1984891663274075,2.128036368571041,0.015922558465644367,33.34880970713563,0.2616802752017975,0.2589593231678009,0.0027209457475692034,6.4796319007873535,6.4796319007873535,6.367959499359131,,,,,,,0.040832001715898514,0.014394467696547508,0.046117182821035385,2.7209510803222656
300,44844,38.24899999999995,4,4,5,21.979849999999985,10.432099094980833,3.2,2.41,3.12,0.773725001513958,0.4523749989271164,0.5635756334617998,0.19916666666666663,0.06834790150481833,0.06637697153630386,144.98,11.71,39.319148936170215,0.0,0.658964454867338,1.2412056835425576,2.114015726307077,0.01685289925047133,34.71223633061974,0.327930748462677,0.32517167925834656,0.0027590685058385134,8.91479206085205,8.91479206085205,9.000709533691406,,,,,,,0.03943002596497536,0.012371384538710117,0.04486503824591637,2.759071111679077
350,52075,37.53099999999998,4,4,5,21.212369999999982,11.223856500022613,2.9,2.45,3.11,0.7307499980926514,0.43575833186507223,0.5774223909327811,0.22333333333333327,0.07341804267946894,0.07274231678486998,141.0,12.68041237113402,36.37894736842105,0.0,0.6708274231678487,1.2291016548463356,2.05177304964539,0.01761229314420804,34.945125792188264,0.48680904507637024,0.4840173125267029,0.002791740233078599,8.395844459533691,8.395844459533691,8.598737716674805,,,,,,,0.03826884925365448,0.011185730807483196,0.04391474649310112,2.791745901107788
400,59243,21.36099999999998,3,2,3,21.710159999999988,10.97576292903595,2.92,2.4,3.06,0.7663499993085862,0.4560333321988583,0.5892675998030255,0.23083333333333333,0.06253239675341103,0.05604781506546664,143.33,13.070707070707071,36.85263157894737,0.0,0.6550384892671922,1.26570385357799,2.1177701807018767,0.017395753389613713,34.945125792188264,0.21676920354366302,0.213948592543602,0.0028206154238432646,8.273277282714844,8.273277282714844,8.054339408874512,,,,,,,0.03726625815033913,0.010246128775179386,0.04326636344194412,2.8206193447113037
450,66436,11.408999999999983,3,2,2,23.82571999999998,10.48150408202945,3.12,2.67,3.4,0.751700000166893,0.4344500011205673,0.5600201042909912,0.15166666666666667,0.07311736358596668,0.06250150301806026,138.61,10.71,27.663265306122447,0.0,0.6588509727532886,1.2465190101724262,2.1476083976625064,0.01979174181756968,38.4500946294695,0.26513251662254333,0.2622855305671692,0.002846995834261179,8.58036994934082,8.58036994934082,8.575010299682617,,,,,,,0.036381710320711136,0.00938386656343937,0.042610377073287964,2.846999168395996
500,73466,28.690999999999914,4,3,4,23.60107999999998,9.757654364323427,3.08,2.56,3.26,0.7580750027298927,0.4418916653096676,0.555233399621848,0.14666666666666667,0.0767642921341217,0.06876448690033013,142.37,13.12,35.64646464646464,0.0,0.6559200206035916,1.234506333263094,2.1088010114490414,0.01882419048956943,38.4500946294695,0.4347263276576996,0.4318545460700989,0.0028717771638184786,9.25671672821045,9.25671672821045,9.286221504211426,,,,,,,0.03556787222623825,0.008749940432608128,0.042056698352098465,2.8717780113220215
550,80511,28.415999999999986,3,3,4,25.036769999999986,9.927785083144176,3.11,2.6,3.38,0.7496750003099442,0.4501583361625671,0.5853391138704073,0.1875,0.08233517488518839,0.07316546762589927,139.0,11.91,33.62,0.0,0.6436450839328537,1.2882254196642686,2.135755395683453,0.020047961630695443,38.4500946294695,0.3165503740310669,0.3136558532714844,0.002894527977332473,8.848388671875,8.848388671875,8.831110000610352,,,,,,,0.03483781963586807,0.008126689121127129,0.04206052049994469,2.8945298194885254
600,87452,38.94899999999998,4,4,5,24.632349999999978,10.184160548002962,3.14,2.67,3.46,0.7708250033855438,0.44237500071525576,0.5465116950524253,0.13666666666666666,0.06966661008090248,0.0665481692143619,140.65,10.393939393939394,28.244897959183675,0.0,0.6544377295888139,1.2509776039815144,2.170849626733025,0.020428960777343286,38.73894312604577,0.37507906556129456,0.37216442823410034,0.0029146242886781693,10.10318374633789,10.10318374633789,10.218530654907227,,,,,,,0.03421039879322052,0.007716814521700144,0.04136863723397255,2.914628267288208
650,94506,16.300999999999988,3,3,3,26.03033999999999,9.812822088695992,3.14,2.82,3.58,0.7541000002622604,0.4327583357691765,0.5568470604925982,0.17,0.074686651121509,0.07058213597985484,135.02,10.94,29.48,0.0,0.6448674270478447,1.274650669036686,2.211820471041327,0.02246580753468622,40.6768934713375,0.2315802276134491,0.2286464124917984,0.002933820243924856,8.167657852172852,8.167657852172852,8.302209854125977,,,,,,,0.033626068383455276,0.007243925705552101,0.04090668261051178,2.933823585510254
700,101483,19.05899999999996,4,3,3,27.998569999999983,10.18342039518648,3.18,2.92,3.73,0.7861250007152557,0.4657666662335396,0.5747443132845376,0.20499999999999996,0.07162899479447452,0.056538250137410685,133.42,12.23,26.4,0.0,0.6137260780492679,1.388897216809074,2.3343576675161146,0.0231599460350772,42.39287862373395,0.36244845390319824,0.3594973087310791,0.002951146801933646,8.013075828552246,8.013075828552246,8.271173477172852,,,,,,,0.03311184421181679,0.006892709992825985,0.041100095957517624,2.95114803314209
750,108592,13.990999999999952,2,2,2,26.461089999999984,9.808439357099582,3.07,2.7,3.49,0.7791249984502793,0.4589750012755394,0.5758608825361271,0.21916666666666668,0.07421129106126087,0.06026483890520819,142.98,10.32,29.747474747474747,0.0,0.6432135030540402,1.2770317526926842,2.15869352356973,0.02177460717116613,42.39287862373395,0.2399207204580307,0.23695272207260132,0.0029679920990020037,8.888494491577148,8.888494491577148,9.01568603515625,,,,,,,0.03262269124388695,0.006595128681510687,0.0409584678709507,2.967993974685669
800,115668,23.295999999999957,2,2,3,28.096509999999984,9.686147844726511,3.28,2.86,3.7,0.7902499967813492,0.47924166709184646,0.5958022963426522,0.27333333333333326,0.0827566635234258,0.06936731691110162,140.46,9.141414141414142,26.050505050505052,0.0,0.6222649390099197,1.3576581707722246,2.2291043713512746,0.02249750818738431,42.39287862373395,0.40390849113464355,0.4009246528148651,0.002983824349939823,8.347537994384766,8.347537994384766,8.334037780761719,,,,,,,0.03216409683227539,0.006268261931836605,0.03999904543161392,2.9838244915008545
850,122732,27.54399999999996,3,3,4,26.366779999999984,10.93948618499059,3.03,2.78,3.55,0.7574750012159348,0.43811666682362554,0.5470874839178093,0.1941666666666666,0.06677239835778702,0.05251883773090396,132.27,9.11111111111111,27.343434343434343,0.0,0.6349890375746579,1.3173559134094404,2.2680123988810768,0.02258007610695295,42.39287862373395,0.31118854880332947,0.3081904947757721,0.0029980619437992573,8.223087310791016,8.223087310791016,8.084128379821777,,,,,,,0.0317646749317646,0.006054128520190716,0.03988255560398102,2.99806547164917
900,129835,22.615999999999936,3,2,3,26.823089999999983,9.795557073586988,3.15,2.87,3.62,0.768675000667572,0.4479666668176651,0.5539252491826329,0.1991666666666667,0.07001519549430145,0.05695632049501815,136.83,9.84,27.11,0.0,0.6397719798289849,1.3022485322419548,2.225169918877439,0.02263148919583912,42.39287862373395,0.5603942275047302,0.5573829412460327,0.003011303720995784,9.488188743591309,9.488188743591309,9.243866920471191,,,,,,,0.03139786049723625,0.0057335346937179565,0.039758309721946716,3.011305809020996
950,136371,31.931000000000004,3,3,4,29.995179999999984,9.824604922723363,3.37,3.13,3.97,0.8129499989748001,0.47985833033919334,0.5810938914051862,0.19,0.06558624569359753,0.0542424713626704,128.62,11.73,23.08,0.0,0.5953713782200798,1.4845539833100088,2.5048981495879334,0.02622712901052195,45.466752802076414,0.6235084533691406,0.6204853653907776,0.003023094730451703,8.802410125732422,8.802410125732422,9.22705078125,,,,,,,0.031080693006515503,0.005506519228219986,0.039633482694625854,3.0231029987335205
1000,142967,22.03899999999997,2,2,3,28.900479999999984,10.064272669676635,3.41,3.05,3.87,0.8276999992132187,0.48054999753832817,0.5616300651265975,0.23166666666666663,0.06278371016007164,0.058888057840937424,133.7,9.79,20.555555555555557,0.0,0.6078534031413613,1.430216903515333,2.4538519072550486,0.025031164298180007,45.466752802076414,0.3912659287452698,0.3882320821285248,0.0030338543001562357,8.52064037322998,8.52064037322998,8.855953216552734,,,,,,,0.030794525519013405,0.0053582522086799145,0.039654720574617386,3.0338547229766846
1050,149903,18.734,2,2,3,27.56938999999998,9.077199808195257,3.21,2.84,3.66,0.7941749992966652,0.46784999668598176,0.5665727210482492,0.18416666666666665,0.07255142328970923,0.06343764436987867,137.09,12.77,26.262626262626263,0.0,0.6212463831546187,1.3577941498285797,2.2953534174629806,0.02365842390643616,45.466752802076414,0.528599202632904,0.5255546569824219,0.003044556360691786,8.236492156982422,8.236492156982422,8.309178352355957,,,,,,,0.030508138239383698,0.005204770714044571,0.03968142718076706,3.0445568561553955
1100,156623,30.41099999999996,4,3,4,28.637729999999987,10.64323286304965,3.25,2.98,3.77,0.8014499980211258,0.47638332784175874,0.573839070614843,0.2008333333333333,0.07492795606319591,0.08289376449303061,130.81,11.65,28.64,0.0,0.6008969752567337,1.4490737201539128,2.4277960400580993,0.02566062737303468,45.466752802076414,0.36132076382637024,0.3582662343978882,0.003054528497159481,8.213507652282715,8.213507652282715,8.432109832763672,,,,,,,0.03024361841380596,0.005057805217802525,0.039978232234716415,3.0545287132263184
1150,163577,24.248999999999974,2,2,3,30.99547999999999,9.30433238602319,3.55,3.28,4.12,0.8008499994874001,0.46726667165756225,0.5488489262780247,0.15833333333333333,0.06996831294281071,0.07214903526280772,125.25,9.06,18.56,0.0,0.5863739188290087,1.484284763805722,2.5336526946107782,0.02916833000665336,47.56065304114291,0.3930536210536957,0.3899887204170227,0.0030648913234472275,6.863087177276611,6.863087177276611,6.627864837646484,,,,,,,0.029978126287460327,0.004894765093922615,0.03977954387664795,3.064889907836914
1200,170412,21.54599999999996,3,2,3,26.916979999999985,10.095316250598596,3.17,2.9,3.62,0.7897499987483024,0.4502000024914741,0.5387411584529439,0.17749999999999996,0.06634290465339981,0.05395913154533844,135.72,12.09,28.49,0.0,0.622236958443855,1.3194812849985265,2.3054818744473917,0.02436388643285195,47.56065304114291,0.6938034892082214,0.6907290816307068,0.003074429929256439,9.572881698608398,9.572881698608398,9.786321640014648,,,,,,,0.029736381024122238,0.0048139821738004684,0.039754897356033325,3.074427604675293
