episode,global_step,train_reward,train_detected,train_completed,train_completed_value,validation_reward,validation_reward_std,validation_detected,validation_completed,validation_completed_value,validation_coverage,validation_local_coverage,validation_overlap,validation_knowledge_overlap,validation_simultaneous_overlap,validation_collision,validation_episode_length,validation_first_detection,validation_first_completion,validation_stay,validation_local_sensor_revisit,validation_local_new_observed,validation_team_new_observed,validation_tracking_progress,best_score,loss,td_loss,kl_loss,q_mean,q_tot_mean,target_mean,epsilon,posterior_rebuilds,predictive_epistemic_std_mean,predictive_selected_std_mean,predictive_max_std_mean,td_residual_variance,posterior_std_mean,posterior_std_min,posterior_std_max,posterior_kl_per_parameter
50,7500,4.471000000000021,4,0,0,3.237020000000005,3.355963456237274,3.19,0.06,0.09,0.8181499999761581,0.5165499970316887,0.6332677345690823,0.27083333333333337,0.15819770405752384,0.2004,150.0,9.363636363636363,37.833333333333336,0.0,0.6519333333333334,1.3708,2.1617333333333333,0.0004222222222222222,-0.23421680249533933,0.02235175296664238,0.019848890602588654,0.0025028614327311516,1.241464376449585,1.241464376449585,1.322414517402649,,,,,,,0.049986716359853745,0.036326996982097626,0.05648788809776306,2.50286602973938
100,15000,2.278999999999994,2,0,0,4.019650000000004,3.4162071581653226,3.13,0.13,0.16,0.8007999992370606,0.5378000013530254,0.6806390916784065,0.3458333333333334,0.12292680414299294,0.12224444444444445,150.0,12.121212121212121,46.333333333333336,0.0,0.6118888888888889,1.4274666666666667,2.115466666666667,0.0008666666666666666,0.7914201492135811,0.009083971381187439,0.006553763523697853,0.0025302080903202295,1.6476070880889893,1.6476070880889893,1.6396758556365967,,,,,,,0.0488712340593338,0.02691618911921978,0.05683181434869766,2.5302109718322754
150,22500,2.051000000000003,4,0,0,5.741919999999998,6.753217839933787,3.27,0.42,0.59,0.8139250013232231,0.49511666476726535,0.6026288949249632,0.26,0.11307484940156796,0.10757777777777777,150.0,13.081632653061224,59.83783783783784,0.0,0.643,1.3136444444444444,2.1504666666666665,0.0028666666666666667,5.231747499761586,0.024560831487178802,0.02200048416852951,0.0025603475514799356,2.0699708461761475,2.0699708461761475,2.0448591709136963,,,,,,,0.047677312046289444,0.02127157337963581,0.05771484971046448,2.5603528022766113
200,30000,0.4290000000000004,2,0,0,11.222090000000001,8.202159351164786,3.36,1.2,1.5,0.8260500007867813,0.5038916674256325,0.6079995962586261,0.2275,0.07594340368803854,0.06995555555555556,150.0,14.92,38.857142857142854,0.0,0.6333777777777778,1.3370444444444445,2.1828,0.008022222222222222,16.633821713031438,0.030606694519519806,0.028013041242957115,0.002593652345240116,2.5053086280822754,2.5053086280822754,2.4598846435546875,,,,,,,0.046334408223629,0.01747124269604683,0.056151628494262695,2.5936572551727295
250,37408,24.120999999999942,4,2,3,14.525149999999995,9.973447468528615,2.97,1.55,2.02,0.7667500019073487,0.46614999905228616,0.5923392990276397,0.26333333333333336,0.07908278031036524,0.07975501871384824,146.95,11.171717171717171,36.79761904761905,0.0,0.6528978110468413,1.2620619258251107,2.066689350119088,0.010570488828399682,21.987345157234333,0.23351804912090302,0.2308872938156128,0.002630752045661211,2.850938320159912,2.850938320159912,2.9844682216644287,,,,,,,0.04485687240958214,0.014533858746290207,0.054804351180791855,2.6307590007781982
300,44603,3.793999999999999,2,1,1,17.926449999999985,10.32885776005749,2.95,2.03,2.57,0.7505999991297722,0.4328166688978672,0.5473408231784958,0.1708333333333333,0.0782058488797587,0.07207824854883678,145.86,13.23,38.26315789473684,0.0,0.6771790301202066,1.1800813565519448,2.0378445084327437,0.0142602495543672,28.8596970281789,0.1150202602148056,0.11234919726848602,0.002671062247827649,4.800972938537598,4.800972938537598,4.863758087158203,,,,,,,0.04327515512704849,0.012496169656515121,0.053738340735435486,2.6710691452026367
350,51806,17.12099999999992,3,1,2,20.907459999999986,9.459882871811889,3.12,2.26,2.92,0.7840500012040138,0.4613249982893467,0.5780769337137859,0.23,0.083387747644651,0.059970967156595896,146.96,12.93,32.91836734693877,0.0,0.6475684993649066,1.2488432226456179,2.1136363636363638,0.01574124478316095,32.56954555883726,0.3884194791316986,0.38570600748062134,0.002713473979383707,6.938200950622559,6.938200950622559,7.147351264953613,,,,,,,0.04166143387556076,0.010924422182142735,0.05305110663175583,2.7134809494018555
400,59299,9.595999999999998,2,2,2,24.328209999999984,11.593647924872482,3.48,2.57,3.24,0.8252000007033348,0.5043166725337506,0.6082454686601065,0.22916666666666669,0.0774046553586377,0.060883672106117,139.72,10.01,32.04123711340206,0.0,0.6004389731844642,1.4366351751121291,2.340967649584884,0.01903807615230461,36.958466675930744,0.22192534804344177,0.21917204558849335,0.0027533092070370913,7.366353988647461,7.366353988647461,7.491847038269043,,,,,,,0.040203798562288284,0.009564576670527458,0.05214320495724678,2.753314256668091
450,66654,7.304000000000014,3,1,1,22.190819999999984,10.65500337999008,3.31,2.44,3.08,0.8037250012159347,0.48599999845027925,0.5965243330973514,0.24249999999999997,0.08438589625741498,0.07882014993344076,142.73,9.636363636363637,32.05154639175258,0.0,0.6250729816203088,1.3550059553002172,2.231415960204582,0.017865900651579905,36.958466675930744,0.3889898657798767,0.38620221614837646,0.002787651726976037,7.522454738616943,7.522454738616943,7.770174980163574,,,,,,,0.03899018093943596,0.008515724912285805,0.051201168447732925,2.787656307220459
500,74031,18.49399999999999,3,3,3,20.95367999999998,10.247539626544501,3.08,2.45,3.05,0.7511250007152558,0.43331666678190234,0.5384944165690286,0.22,0.0881840559689466,0.08186133552421379,146.06,11.757575757575758,35.73737373737374,0.0,0.6728741613035739,1.1798347710986352,2.036491852663289,0.017686795380893697,36.958466675930744,0.3034971058368683,0.3006785809993744,0.002818537410348654,7.225335121154785,7.225335121154785,7.035461902618408,,,,,,,0.03793933615088463,0.007673485670238733,0.05058284476399422,2.818542003631592
