episode,global_step,train_reward,train_detected,train_completed,train_completed_value,validation_reward,validation_reward_std,validation_detected,validation_completed,validation_completed_value,validation_coverage,validation_local_coverage,validation_overlap,validation_knowledge_overlap,validation_simultaneous_overlap,validation_collision,validation_episode_length,validation_first_detection,validation_first_completion,validation_stay,validation_local_sensor_revisit,validation_local_new_observed,validation_team_new_observed,validation_tracking_progress,best_score,loss,td_loss,kl_loss,q_mean,q_tot_mean,target_mean,epsilon,posterior_rebuilds,predictive_epistemic_std_mean,predictive_selected_std_mean,predictive_max_std_mean,td_residual_variance,posterior_std_mean,posterior_std_min,posterior_std_max,posterior_kl_per_parameter
50,7500,3.369000000000001,3,0,0,3.0101499999999963,10.11124927432313,1.95,1.15,1.42,0.4997250002622604,0.21921666659414768,0.2867152274204419,0.165,0.07091004495421457,0.05951020591068988,148.77,19.98876404494382,41.028985507246375,0.0,0.8504850888395958,0.5826891622414914,1.3234523089332526,0.007842082857206873,15.398489072616844,0.14139266312122345,,,3.800473213195801,3.800473213195801,3.885342597961426,0.64375,,,,,,,,,
100,14814,2.934000000000001,1,1,1,8.365329999999995,10.134899854517553,2.27,1.43,1.73,0.5659999972581864,0.2617916667461395,0.34604376675307114,0.09583333333333333,0.07671083539727813,0.07153258507516186,148.79,20.948453608247423,51.06410256410256,0.0,0.8117256984116316,0.6970674552501288,1.5014449895826332,0.009946905033940454,19.475206682885528,0.12723325192928314,,,6.717331886291504,6.717331886291504,6.7258076667785645,0.296335,,,,,,,,,
150,22253,11.113999999999999,3,2,2,12.35396999999999,10.638000226974041,2.42,1.52,1.99,0.5931999978423118,0.28823333166539666,0.39853446652381463,0.1,0.0835494707596517,0.08333893858882088,148.67,19.252525252525253,58.65853658536585,0.0,0.7754758861908926,0.7687720006277886,1.5758391067464854,0.010672406448285912,21.36492588317456,0.3374611735343933,,,8.43681526184082,8.43681526184082,8.526981353759766,0.050000000000000044,,,,,,,,,
200,29455,35.783999999999956,4,4,5,12.074249999999997,11.446200617999835,2.47,1.67,2.15,0.6131999957561493,0.2971000008285046,0.39911529424065767,0.12,0.07455220655691144,0.06542077092610084,148.22,21.875,72.2,0.0,0.772028066387802,0.7950344083119687,1.6345972203481312,0.011739306436378357,23.25413209449653,0.38338175415992737,,,11.22315502166748,11.22315502166748,11.161492347717285,0.050000000000000044,,,,,,,,,
250,36920,5.145999999999999,3,1,1,12.835569999999995,12.612968974238377,2.42,1.84,2.28,0.5754750001430512,0.2745333328843117,0.3706176085593526,0.0925,0.07561370489257754,0.06666666666666667,145.75,21.020833333333332,58.895348837209305,0.0,0.7953802172670097,0.7465751858204689,1.5587650085763294,0.013173241852487135,25.56884329465225,0.42774590849876404,,,9.123791694641113,9.123791694641113,9.222128868103027,0.050000000000000044,,,,,,,,,
300,44295,23.296000000000003,3,2,3,14.680169999999999,11.15720954903599,2.54,1.87,2.4,0.641824999153614,0.3189416664838791,0.41086292565140703,0.13333333333333333,0.07324539276841935,0.06565724540152534,148.6,26.443298969072163,71.58888888888889,0.0,0.7488784208165097,0.8517945266935846,1.7074697173620457,0.01301031852848811,26.275255522757334,0.7898606061935425,,,10.976223945617676,10.976223945617676,11.588363647460938,0.050000000000000044,,,,,,,,,
350,51661,29.08099999999997,4,3,4,14.009199999999991,10.552759574632596,2.58,1.96,2.5,0.6342000007629395,0.3176583331823349,0.41221010054140883,0.16333333333333333,0.07204677976059734,0.053635733297546354,149.03,21.693877551020407,51.02127659574468,0.0,0.761345590373303,0.8458923259299023,1.6820774340736764,0.0139569214252164,27.639579833830037,0.35686880350112915,,,9.41178035736084,9.41178035736084,9.669776916503906,0.050000000000000044,,,,,,,,,
400,59068,37.600999999999985,4,4,5,16.367429999999985,10.71225075999903,2.68,2.06,2.59,0.6256499975919724,0.3422083331644535,0.48903604208899026,0.19916666666666663,0.07839318188265879,0.06601400503093344,147.09,21.58,56.61702127659574,0.0,0.7289414644095452,0.9238108187730868,1.6810116255353864,0.015024814739275274,28.890108685555234,0.34179866313934326,,,9.989076614379883,9.989076614379883,10.198057174682617,0.050000000000000044,,,,,,,,,
450,66455,40.471,4,4,5,18.728589999999993,10.630840114586427,2.99,2.23,2.84,0.6984000021219253,0.360425002425909,0.4419432473796197,0.14,0.0673054779458463,0.05333153006942566,147.88,20.555555555555557,63.51086956521739,0.0,0.7267378955910198,0.9681498512307276,1.8688125507167974,0.016477323956361013,31.712269221502233,0.3912420868873596,,,9.717891693115234,9.717891693115234,9.607633590698242,0.050000000000000044,,,,,,,,,
500,73762,14.86900000000001,4,1,2,18.35863999999999,10.762396097078005,3.0,2.23,2.86,0.7171249979734421,0.3767333333194256,0.4697327951564009,0.10833333333333332,0.06509693540443715,0.0609855150940842,147.74,22.83,54.97849462365591,0.0,0.7169577185145075,1.0132214250259466,1.9212806281304995,0.016109381345607146,31.76078191614183,0.558617889881134,,,9.794759750366211,9.794759750366211,10.120803833007812,0.050000000000000044,,,,,,,,,
