episode,global_step,train_reward,train_detected,train_completed,train_completed_value,validation_reward,validation_reward_std,validation_detected,validation_completed,validation_completed_value,validation_coverage,validation_local_coverage,validation_overlap,validation_knowledge_overlap,validation_simultaneous_overlap,validation_collision,validation_episode_length,validation_first_detection,validation_first_completion,validation_stay,validation_local_sensor_revisit,validation_local_new_observed,validation_team_new_observed,validation_tracking_progress,best_score,loss,td_loss,kl_loss,q_mean,q_tot_mean,target_mean,epsilon,posterior_rebuilds,predictive_epistemic_std_mean,predictive_selected_std_mean,predictive_max_std_mean,td_residual_variance,posterior_std_mean,posterior_std_min,posterior_std_max,posterior_kl_per_parameter
50,7500,5.937000000000008,3,1,1,-4.857650000000017,7.973681409957391,1.49,0.74,0.89,0.35620000019669534,0.14084999945014715,0.1571896384847918,0.18333333333333332,0.037489772724757744,0.018977777777777777,150.0,29.105882352941176,46.76,0.0,0.909,0.36893333333333334,0.9298666666666666,0.005,9.101522389893775,0.264639675617218,,,2.0215976238250732,,2.3028783798217773,0.64375,,,,,,,,,
100,14723,6.372000000000006,3,1,1,1.131599999999989,11.043689960334818,1.79,1.21,1.47,0.4585249972343445,0.19640000052750112,0.26923678663340334,0.15416666666666667,0.07486518804575491,0.0505403829768151,148.66,26.397727272727273,55.50704225352113,0.0,0.8714740571326068,0.5217274317233956,1.2135745997578367,0.008475716399838558,15.83651985250188,0.2592718005180359,,,3.483860731124878,,3.7103755474090576,0.3006575,,,,,,,,,
150,21441,16.672000000000008,2,2,3,10.247429999999994,10.263970649076308,2.31,1.89,2.37,0.5639500015974045,0.25829166620969773,0.3316693516496422,0.11083333333333334,0.0827208561135661,0.07317570322054627,147.18,24.383838383838384,51.97894736842105,0.0,0.8111156407120532,0.695180504597545,1.5122978665579563,0.012977306699279793,26.196037714952272,0.3950830101966858,,,3.495849132537842,,3.708268642425537,0.050000000000000044,,,,,,,,,
200,28597,-1.4489999999999992,2,0,0,9.854029999999993,10.473881189372918,2.11,1.75,2.12,0.5669249987602234,0.25912499979138376,0.3409061680952448,0.11166666666666666,0.07094717659049501,0.06718781589055867,148.39,21.329787234042552,35.40449438202247,0.0,0.8014466383628727,0.691758204730777,1.5079857133230001,0.012040344138194398,26.196037714952272,0.45299094915390015,,,3.6975111961364746,,3.933527708053589,0.050000000000000044,,,,,,,,,
250,35820,37.63099999999997,4,4,5,14.346339999999989,10.16879858510335,2.68,2.13,2.61,0.6726500016450881,0.32719166547060013,0.3917636435592482,0.125,0.058978596414928516,0.046030989813743504,146.93,20.540816326530614,41.34736842105263,0.0,0.7538283536377867,0.8839356609723451,1.8107942557680528,0.01513192223054062,29.90219006087483,0.5226694941520691,,,4.583322525024414,,4.749759674072266,0.050000000000000044,,,,,,,,,
300,43225,24.452000000000005,3,3,4,20.04712999999999,10.12049436703069,2.93,2.39,3.06,0.716924998164177,0.36076666563749316,0.430964244641538,0.0925,0.05717653709649052,0.05176931665413448,146.29,16.78,32.36082474226804,0.0,0.7206006334449837,0.9796067172511222,1.939777154966163,0.017339986784241347,34.460793311496005,0.5652867555618286,,,3.0683321952819824,,3.525454044342041,0.050000000000000044,,,,,,,,,
350,50559,9.006000000000018,3,2,2,15.060099999999993,11.055744938718504,2.54,1.95,2.46,0.6146250006556511,0.31587500005960467,0.444354992957866,0.14,0.09609907433362867,0.0987955068344837,147.78,23.697916666666668,38.20224719101124,0.0,0.754477376280056,0.848220327513872,1.6433211530653675,0.014187756575089097,34.460793311496005,0.42668408155441284,,,2.8211417198181152,,2.9581897258758545,0.050000000000000044,,,,,,,,,
400,57910,25.695999999999987,4,2,3,21.854759999999985,9.849108108981234,3.19,2.4,3.12,0.7637999987602234,0.42451666831970214,0.5119383668194084,0.14166666666666666,0.09839125810369644,0.10018177216354893,144.87,23.58,35.63265306122449,0.0,0.6659303743586203,1.1652285957525137,2.0882170221577967,0.01750995145072594,34.628527418018514,0.3878670334815979,,,2.5909180641174316,,2.9114348888397217,0.050000000000000044,,,,,,,,,
450,65231,28.435999999999986,3,3,4,16.653899999999986,10.379827767838918,2.53,2.06,2.64,0.6807750007510185,0.361166665405035,0.4696510048708628,0.21333333333333332,0.09322959361508373,0.08927295771402236,144.65,27.836734693877553,43.702127659574465,0.0,0.7131697200138265,0.9918193340246573,1.861804355340477,0.014840419403157046,34.628527418018514,0.39437204599380493,,,2.928834915161133,,3.158332586288452,0.050000000000000044,,,,,,,,,
500,72371,20.351000000000006,3,1,2,22.383799999999987,10.455503749700437,3.18,2.51,3.18,0.7686000004410743,0.41784166157245634,0.5084094815379644,0.10666666666666666,0.07553325394352216,0.07786733370390958,143.92,20.84,35.101010101010104,0.0,0.6720863442653326,1.1543681675004631,2.115341856586993,0.018945710579951824,36.04554893524332,0.598271369934082,,,3.3181915283203125,,3.6848883628845215,0.050000000000000044,,,,,,,,,
